,Time,Speed
0,0.0,6.585681164902185e-20
1,0.1000000000003638,0.0120063518197041
2,0.1999999999998181,0.0125266277956428
3,0.3000000000001819,0.0141520564698749
4,0.3999999999996362,0.0168832546868433
5,0.5,0.0207202224465481
6,0.6000000000003638,0.0256628917646545
7,0.6999999999998181,0.0303234143816115
8,0.8000000000001819,0.0333139420466528
9,0.8999999999996362,0.0346344067754438
10,1.0,0.0342848085679847
11,1.1000000000003638,0.0322651474242752
12,1.199999999999818,0.0285754233443157
13,1.300000000000182,0.0232156363281058
14,1.3999999999996362,0.0161859531396268
15,1.5,0.0108907330478742
16,1.6000000000003638,0.0107343352999251
17,1.699999999999818,0.0157169266597593
18,1.800000000000182,0.0258385071273766
19,1.899999999999636,0.0410990767027771
20,2.0,0.0614986353859607
21,2.100000000000364,0.0870371831769276
22,2.199999999999818,0.1177150136604499
23,2.300000000000182,0.1595254356786946
24,2.399999999999636,0.2184617580345858
25,2.5,0.2945242743128939
26,2.600000000000364,0.3877129845136193
27,2.699999999999818,0.4980278886367615
28,2.800000000000182,0.6254689866823208
29,2.899999999999636,0.7700362786502968
30,3.0,0.9317294291417274
31,3.100000000000364,1.103701524571807
32,3.199999999999818,1.279105651401307
33,3.300000000000182,1.457941474231268
34,3.399999999999636,1.64020899306169
35,3.5,1.825908207892573
36,3.600000000000364,2.0150391187239167
37,3.699999999999818,2.2076017255557217
38,3.800000000000182,2.403595949196409
39,3.899999999999636,2.601405154077816
40,4.0,2.799412704642717
41,4.100000000000364,2.997618521699536
42,4.199999999999818,3.196022605248272
43,4.300000000000182,3.394624955288923
44,4.399999999999636,3.593425571821493
45,4.5,3.792424454845979
46,4.600000000000364,3.99162149137714
47,4.699999999999818,4.188710174015812
48,4.800000000000182,4.381383995378692
49,4.899999999999636,4.56964284248054
50,5.0,4.753486715321353
51,5.100000000000364,4.932915613901131
52,5.199999999999818,5.107929538219876
53,5.300000000000182,5.278528488277587
54,5.399999999999636,5.444712397615271
55,5.5,5.605124556589149
56,5.600000000000364,5.758408255564933
57,5.699999999999818,5.904563428083629
58,5.800000000000182,6.043590074145236
59,5.899999999999636,6.175488193749748
60,6.0,6.300257786897174
61,6.100000000000364,6.41789885358751
62,6.199999999999818,6.528411416738196
63,6.300000000000182,6.632263318417238
64,6.399999999999636,6.729922400689335
65,6.5,6.821388686471917
66,6.600000000000364,6.906662175764991
67,6.699999999999818,6.985742868568553
68,6.800000000000182,7.058630764882605
69,6.899999999999636,7.125325864707151
70,7.0,7.185828322119784
71,7.100000000000364,7.243283513647409
72,7.199999999999818,7.300836815794275
73,7.300000000000182,7.358488382637974
74,7.399999999999636,7.416238214178514
75,7.5,7.474086310415887
76,7.600000000000364,7.532032671350099
77,7.699999999999818,7.590077296981145
78,7.800000000000182,7.648220260388873
79,7.899999999999636,7.70795343068519
80,8.0,7.770768676971099
81,8.100000000000364,7.83666607232644
82,8.199999999999818,7.905645616751216
83,8.300000000000182,7.977707310245419
84,8.399999999999636,8.052851152809058
85,8.5,8.131077144442132
86,8.600000000000364,8.212385205518519
87,8.699999999999818,8.295149829668519
88,8.800000000000182,8.377745510534494
89,8.899999999999636,8.460172168490322
90,9.0,8.542429803536011
91,9.100000000000364,8.624518415671558
92,9.199999999999818,8.706438004896958
93,9.300000000000182,8.788188571212219
94,9.399999999999636,8.869770161737158
95,9.5,8.952144691717013
96,9.600000000000364,9.036274076389756
97,9.699999999999818,9.12215836287522
98,9.800000000000182,9.209797551173402
99,9.899999999999636,9.299191641284304
100,10.0,9.390340633207922
101,10.100000000000364,9.483244526944262
102,10.199999999999818,9.577903210118189
103,10.300000000000182,9.672022630267367
104,10.399999999999636,9.763308734946984
105,10.5,9.851761411781911
106,10.600000000000364,9.937380660772158
107,10.699999999999818,10.020166481917704
108,10.800000000000182,10.100118875218568
109,10.899999999999636,10.17723784067474
110,11.0,10.25152333937332
111,11.100000000000364,10.32218099407316
112,11.199999999999818,10.388416427539276
113,11.300000000000182,10.450229600858764
114,11.399999999999636,10.507620514031611
115,11.5,10.560589167057843
116,11.600000000000364,10.60913555993744
117,11.699999999999818,10.653259692670405
118,11.800000000000182,10.692961752466951
119,11.899999999999636,10.73206349278334
120,12.0,10.7743866670458
121,12.100000000000364,10.819931462464538
122,12.199999999999818,10.86869787903956
123,12.300000000000182,10.92068591677086
124,12.399999999999636,10.975895575658445
125,12.5,11.034326855702302
126,12.600000000000364,11.095979615591284
127,12.699999999999818,11.157969095981787
128,12.800000000000182,11.217410537553196
129,12.899999999999636,11.274303798994351
130,13.0,11.328648880305256
131,13.100000000000364,11.380445781485898
132,13.199999999999818,11.429694502536291
133,13.300000000000182,11.476395043456431
134,13.399999999999636,11.520547454181465
135,13.5,11.56317112258721
136,13.600000000000364,11.605285436541257
137,13.699999999999818,11.64689044597874
138,13.800000000000182,11.687986150899675
139,13.899999999999636,11.72857255130406
140,14.0,11.76864964719189
141,14.100000000000364,11.80821743856316
142,14.199999999999818,11.84727598619449
143,14.300000000000182,11.887065997981496
144,14.399999999999636,11.928828181809688
145,14.5,11.972562598455657
146,14.600000000000364,12.018269247919402
147,14.699999999999818,12.065948130200931
148,14.800000000000182,12.11559924530024
149,14.899999999999636,12.16722259321732
150,15.0,12.220818045929231
151,15.100000000000364,12.273772112569231
152,15.199999999999818,12.323471302292283
153,15.300000000000182,12.369915487075415
154,15.399999999999636,12.413104666918644
155,15.5,12.453038841821945
156,15.600000000000364,12.48971801178535
157,15.699999999999818,12.523142176808838
158,15.800000000000182,12.553311458737127
