Date,9,10,2019
Vehicle_order,SKODA_TARGET,JAGUAR_I_PACE,BMW_I3,MERCEDES_GLE450,TESLA_MODELX,TESLA_MODELS,TESLA_MODEL3,TOYOTA_RAV4,MAZDA_3,AUDI_A4,
Number_of_vehicles,10
ACC,1
Distance_setting,L
Time,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed9,E9,N9,Lon9,Lat9,Alt9,IVS2,IVS3,IVS4,IVS5
12322.400000000443,15.134575702325888,107.00496431483406,-4.1336066406887015,16.846343150874542,46.8852598166141,227.993,16.485975922843163,101.13103235664171,-59.819760943916705,16.846266071397448,46.88475889818036,227.68400000000003,15.947906533105831,98.443154377058,-92.94305710373344,16.846230800265495,46.88446094135715,227.638,16.766905308056323,96.02382609633452,-124.93449855880114,16.846199053122337,46.88417316600351,228.19399999506663,18.43810793055948,91.21962861510728,-180.8962001744005,16.846136011018277,46.883669768915425,227.262,18.47438520334351,5.775319746649416,-343.79641736329995,16.84501478545841,46.882204418638075,226.699,51.27791510137793,28.894964221547397,27.478110686751307,51.11630424398805
12322.500000000447,15.062568133968131,107.13697662330084,-2.6272130045114914,16.846344883179203,46.88527336720581,227.993,16.473677152738357,101.28539439060457,-58.135394445298424,16.846268096981834,46.884774049706614,227.68400000000003,15.922938634291688,98.58379337392392,-91.35968330018028,16.846232645772126,46.88447518441514,227.638,16.756490932846585,96.16788723990824,-123.26771243853912,16.846200943535386,46.88418815938746,227.08700000047241,18.3908902822386,91.37101719451759,-179.0630675313678,16.846137997584115,46.88368625865049,227.26200000084228,18.508117942431987,7.324490301865969,-342.78814514094915,16.845035114133857,46.882213488435575,226.6989999981929,51.09857977941368,28.99673643350851,27.394677939419374,50.94994101830674
12322.600000000446,14.989560667874198,107.26835504288981,-1.126340831924976,16.84634660716579,46.885286868129825,227.99300000192082,16.460218393465002,101.458223292553,-56.373567366491784,16.846270364893936,46.88478989802063,227.68400000000003,15.893248623428107,98.72446050435808,-89.77755097586531,16.84623449164792,46.88448941630557,227.63800000119213,16.745692136865234,96.3120203330171,-121.60228326509477,16.84620283489257,46.884203140565155,227.193,18.34361445449983,91.52383930124836,-177.23360417586647,16.846140002961114,46.883702715378924,227.451,18.542291654055106,8.879754780233082,-341.7795170977044,16.84505552277556,46.88222256143379,226.2935,50.834719066017826,29.1784512144658,27.31135727750516,50.785765696972284
12322.700000000446,14.918835267799896,107.39903534037659,0.3685310260910265,16.8463483219914,46.88530031507871,228.423999996515,16.44608233027541,101.5947632660826,-54.74381612497058,16.846272156611963,46.884804558261564,227.6840000000446,15.862067623343565,98.86502687939596,-88.1965448531327,16.846236336201578,46.884503638065354,227.9055,16.734271508802777,96.4565080720893,-119.93834986794907,16.846204730903533,46.88421810828778,227.193,18.296280447343356,91.67498216305476,-175.4091354851069,16.84614198630257,46.88371912717842,227.451,18.579540808712107,10.441216318874927,-340.7703689402765,16.845076012736932,46.882231639110664,226.2935,50.69996718724994,29.22670643920999,27.228370923946773,50.62525150616258
12322.800000000449,14.850391933744007,107.5288057627307,1.8575773568078364,16.84635002487737,46.88531370962471,227.642,16.431751648414007,101.7371172765588,-53.10912381100524,16.846274024623497,46.88481926294938,227.694,15.832626756814964,99.00594520221651,-86.61657421277172,16.8462381853736,46.8845178505106,227.9055,16.722229048658985,96.60125298883769,-118.27585277308224,16.846206630289256,46.8842330630903,227.193,18.248930390550388,91.8258512932033,-173.5899570174694,16.84614396605204,46.88373549139031,227.4510000017586,18.619865406403772,12.008579299738086,-339.7602082882727,16.84509658013877,46.88224072589532,226.29350000291527,50.5538043663942,29.2813637340186,27.14579159221678,50.468623538114294
12322.900000000449,14.78423066570899,107.65796634409122,3.3404901520555805,16.846351719760822,46.88532704899721,227.642,16.41722634788131,101.88637317635843,-51.52446585730968,16.846275983203686,46.88483351755878,227.69400000093526,15.804926023843342,99.14707636397344,-85.03757328069467,16.84624003733856,46.88453205423296,227.9055,16.709564756434297,96.74574398806207,-116.61474879341507,16.846208526343,46.8842480053612,227.19300000066002,18.20160641390405,91.97770198871395,-171.77402437788808,16.846145958681902,46.883751826404726,227.844,18.66326544712861,13.581724169232498,-338.7486647600241,16.84511722341227,46.88224982511946,226.945,50.45051440512615,29.28766297782049,27.06367002511445,50.31373596183104
12323.00000000045,14.720351463693593,107.7859731624394,4.817329289873227,16.846353399504252,46.885340333734796,227.6419999999284,16.402506428677064,102.04366720406692,-49.858811587333975,16.84627804726256,46.88484850076134,227.903,15.778965424428167,99.28823087260952,-83.45967775008434,16.846241889609882,46.88454624801177,227.90550000190845,16.696278632128493,96.89025962356651,-114.95521004912405,16.846210422720024,46.88426293355224,227.3405,18.15430851740351,92.12886166196535,-169.96341005936708,16.84614794224396,46.88376811357882,227.8439999957893,18.70974093088733,15.160283857001483,-337.7346930862932,16.845137937740613,46.88225894618569,226.94499999728387,50.25967221926714,29.37644602767527,26.982007128091364,50.16264985453683
12323.10000000045,14.658754327697823,107.91315620608047,6.287971356448972,16.84635506843787,46.88535356272735,227.626,16.387591890801264,102.21019546914304,-48.24503221054561,16.846280232495847,46.88486301732921,227.903,15.75474495856943,99.42901466270922,-81.8828006604913,16.84624373701653,46.88456043262933,228.332,16.68237067574158,97.03475328890543,-113.29715646475695,16.84621231880875,46.884277848383654,227.3405,18.107036701048752,92.28015854607054,-168.15645040548196,16.846149927606536,46.883784367877766,226.90300000059062,18.759291857679926,16.744140829405254,-336.7179291384496,16.845158721581512,46.882268092369536,226.338,50.113213584919215,29.415336562003645,26.90078335136363,50.01371214773839
12323.20000000045,14.599439257721677,108.03946256782152,7.7523552563697935,16.84635672586741,46.88536673542527,227.626,16.372482734253918,102.42520432347109,-46.55170045172457,16.84628305390579,46.88487824950141,227.903,15.732264626267146,99.5699011420752,-80.30670406773146,16.846245585770685,46.88457461022599,228.332,16.667840887273556,97.17863057274704,-111.64091820663342,16.846214206809133,46.884292746885535,227.34050000046088,18.05979096483976,92.43016368853834,-166.35467960431546,16.8461518960185,46.88380057550096,227.035,18.811918227506414,18.33286928528213,-335.69738462984355,16.845179569347454,46.882277272560955,226.33799999915647,49.8763194685783,29.538341533547772,26.820646307660198,49.86819439711167
12323.300000000449,14.542406253760085,108.16501529291972,9.210766001319069,16.846358373407494,46.88537985439238,227.626,16.357178959034734,102.63850900335659,-44.91125191236552,16.846285852953052,46.88489300596868,227.90300000116812,15.711524427520953,99.71070989393526,-78.7317843630049,16.846247433504892,46.88458877723614,228.3320000010603,16.65268926672583,97.32270805947618,-109.98596298844265,16.846216097436642,46.884307633846,227.4435,18.012571308775712,92.57982441103144,-164.55797453391762,16.846153859910885,46.883816737555996,227.035,18.867620040360645,19.926031375621385,-334.67217485132124,16.845200475292867,46.882286494718294,226.1495,49.68626582542698,29.6098132734264,26.74059424126833,49.726493051026964
