Date,9,10,2019
Vehicle_order,SKODA_TARGET,JAGUAR_I_PACE,BMW_I3,MERCEDES_GLE450,TESLA_MODELX,TESLA_MODELS,TESLA_MODEL3,AUDI_E_TRON,TOYOTA_RAV4,MAZDA_3,AUDI_A4,
Number_of_vehicles,11
ACC,1
Distance_setting,L
Time,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed10,E10,N10,Lon10,Lat10,Alt10,IVS2,IVS3,IVS4,IVS5
12070.2,16.026800543012882,62.61880743265245,-301.88210796753043,16.84576070256102,46.88258145401566,226.4675,16.254134230634996,16.997873661029924,-335.82285252597825,16.845162051138974,46.88227614392886,226.338,16.077980498131698,-15.867435082359092,-359.7635176823813,16.84473078281129,46.882060788412865,226.268,15.600248526829267,-44.433199472040556,-374.23305860872506,16.844355934379664,46.88193062931193,226.0835,27.007349097416693,-139.2527005105641,-366.1824171855847,16.843111684767884,46.882003047936344,227.77900000000002,16.69801354069082,-264.85771528873016,-284.7881644247706,16.841463458515232,46.88273522063025,229.46,16.389422461340494,-247.1868195527476,-165.92955018137832,16.841695341249462,46.883804399704104,230.3645,52.14443758370178,36.32338427151378,27.41672678306136,90.10942273204176
12070.3,16.022850453113055,63.64015244261832,-300.68017854027437,16.845774104953126,46.8825922658344,226.4675,16.26405766991435,18.35596883950072,-334.95076249673167,16.84517987246666,46.882283988715,226.338,16.090673393104925,-14.525418973056881,-358.88737687026617,16.844748393144656,46.882068669637356,226.268,15.606155375478327,-43.007997122814864,-373.6088855510436,16.84437463630754,46.88193624398932,226.0835,26.999771323126346,-136.68183949959612,-367.0953400090924,16.843145420368472,46.88199483584346,226.703,16.645172403176197,-264.1509738395412,-286.29801670385916,16.841472732586116,46.882721638926704,229.46,16.46548965958105,-248.27077623484703,-167.17258312572758,16.841681117248427,46.88379321814339,229.878,52.07304824754678,36.33399765012925,27.457448102380834,88.84879265872215
12070.4,16.020052744409853,64.64244632807734,-299.46221672311265,16.845787257350725,46.88260322187066,226.92700000000002,16.273293675852802,19.815747543531838,-334.0126723334696,16.845199028115715,46.88229242719779,227.257,16.10006246100379,-13.184245253971422,-358.0081448587072,16.84476599242393,46.882076578668396,226.1065,15.613180127237687,-41.591185263014715,-372.9671025881802,16.844393228132926,46.881942017074564,226.0835,26.99913814934313,-134.10627840839595,-367.9773887491734,16.843179217644902,46.88198690147489,226.649,16.592258997056767,-263.42140013021873,-287.7917070617256,16.841482306268688,46.88270820260588,229.46,16.540297627292812,-249.34556760986493,-168.4327152840373,16.84166701351727,46.88378188276864,229.878,51.879345710730064,36.46453243568239,27.50022055372357,87.59831909897837
12070.5,16.018407416903294,65.62444399396628,-298.2289818209718,16.845800143415314,46.882614315294205,226.524,16.28184224845034,21.18676672278657,-333.0662892920912,16.845217019035967,46.88230094027823,227.257,16.106147701828302,-11.842924030088685,-357.12664613230385,16.844783593638805,46.88208450808939,226.1065,15.621322782107349,-40.183169303300296,-372.3087654782443,16.8444117045359,46.88194793907078,225.90200000000002,27.005449576067072,-131.52400779760583,-368.8260588800045,16.843213102965642,46.88197926735975,227.33599999999998,16.539273322332505,-262.6694329285698,-289.26884577727037,16.841492173805307,46.882694915173474,229.1755,16.613846364475783,-250.4099724649241,-169.71061619433615,16.84165304608111,46.883770387557114,229.878,51.74825163071875,36.526725222763325,27.546000124846525,86.355975824131
12070.6,16.017750402067715,66.586428447307,-296.9798527380228,16.84581276686059,46.882625551692044,226.524,16.28970338770697,22.56143436450677,-332.0394788576125,16.845235057832426,46.882310176834075,227.257,16.108929115578448,-10.501157715639575,-356.2424696913175,16.844801200694288,46.88209246159746,225.94,15.629641663007822,-38.783687279624,-371.6346116151114,16.84443006895404,46.881954003344745,226.7555,27.018705603298148,-128.9355442126703,-369.6386507215197,16.843247069552426,46.881971957782746,227.33599999999998,16.485980835791935,-261.8953133783757,-290.7292864751668,16.841502332031613,46.88268177794616,229.482,16.687231464278025,-251.46333039626785,-171.0067216631305,16.841639223605956,46.88375872858858,230.046,51.56227721477861,36.63741287350293,27.59500158263736,85.12271542164873
12070.7,16.017917631381355,67.52803031346839,-295.714852383977,16.845825122839514,46.8826369308581,226.524,16.29717565386335,23.90374635801053,-331.1463082062056,16.845252672048474,46.88231821124855,227.257,16.11032857949691,-9.159401783780472,-355.3571493179116,16.84481880761353,46.88210042539566,226.4285,15.637195092881944,-37.39294566137322,-370.9452453144177,16.844448318677983,46.8819602044605,226.7555,27.038906231036385,-126.34011853964836,-370.4119298093492,16.84328112749779,46.88196500183914,227.6845,16.4321469942291,-261.09929872518296,-292.17261543619384,16.841512777571953,46.88266879464553,229.482,16.761548519821616,-252.5044990947115,-172.32150734279395,16.841625561081532,46.88374690158433,230.025,51.48305157711179,36.64249902347236,27.646238113128877,83.89753763058354
12070.8,16.01890910484422,68.4481097058724,-294.4347288017757,16.845837196394154,46.88264844606339,226.524,16.304557607153047,25.302895421008703,-330.2091476583845,16.8452710320974,46.882326641369104,226.4265,16.112267970780785,-7.817553768957951,-354.470938910262,16.844836415741113,46.88210839720004,226.4285,15.643983071729727,-36.010897330544346,-370.24185861202767,16.844466454326035,46.88196653169515,226.28599999999997,27.05400608933405,-123.73957877259636,-371.14453509467285,16.843315252551815,46.88195841177207,227.5465,16.37777179764401,-260.2816049816226,-293.5986712750222,16.841523507591752,46.88265596672328,229.482,16.836797531106555,-253.5324964696251,-173.65510979636238,16.841612071395122,46.883734905315954,230.025,51.33028539964448,36.718832533166015,27.699909640598868,82.6820912459233
12070.9,16.02072482245631,69.34714426289456,-293.1393818296716,16.845848993792227,46.88266009820897,226.953,16.311849247576067,26.67222256109572,-329.28718197183485,16.845289000814212,46.882334934806025,226.4265,16.114747289430067,-6.474934660332294,-353.5829420449698,16.844854033987215,46.88211638507431,226.2245,15.650005599551164,-34.63743156042206,-369.52475414317564,16.844484477351177,46.8819729823264,226.28599999999997,27.051959808529162,-121.13506599303403,-371.8373576015036,16.84334942974089,46.88195217956642,226.4515,16.32285524603666,-259.44259866311523,-295.0073397695618,16.84153451728147,46.88264329520691,229.104,16.912978498132837,-254.54660610772711,-175.00787153172456,16.84159876394771,46.88372273670243,230.1505,51.20966699922414,36.76045354115922,27.75683397906785,81.4773097511507
12071.0,16.02336478421762,70.22491470742968,-291.8288954825317,16.845860512156307,46.88267188653906,226.5535,16.3190505751324,28.102199065403852,-328.31077112934474,16.845307765389972,46.882343717998104,226.2755,16.11776653544475,-5.1319491051675925,-352.6946239124473,16.84487165704194,46.8821243758385,226.2245,15.655262676346247,-33.271924605187834,-368.79538615109254,16.84450239593839,46.881979543272784,226.1415,27.03276738862171,-118.52794533924536,-372.4888304865652,16.84338364115127,46.881946319316576,226.5665,16.267397339407058,-258.5826157850475,-296.39850885221244,16.841545802231828,46.882630781104496,229.104,16.99009142090047,-255.5457413864324,-176.37978270460798,16.841585652998287,46.883710395832345,230.1505,51.00759225012804,36.882698299254216,27.815880577669486,80.28475248373891
12071.1,16.026828990128152,71.08067313420115,-290.5037866741804,16.845871741672163,46.882683806403826,226.5535,16.32616158982206,29.45139311792028,-327.4170300892529,16.845325469914435,46.88235175754344,226.2755,16.12132570882485,-3.788825402209688,-351.8063766944377,16.844889281909474,46.882132365964786,226.2245,15.659754302114992,-31.914539013921708,-368.054326412292,16.84452020795466,46.881986209390924,226.1415,26.99642882961172,-115.91695181067007,-373.0951631570079,16.84341790338265,46.88194086512036,226.97099999999998,16.211398077755188,-257.7021249633387,-297.7718158406797,16.841557356293507,46.88261842767851,229.407,17.068136299409446,-256.529234831213,-177.7710777060822,16.841572747305644,46.88369788059724,230.0545,50.92079545685018,36.890842514194105,27.87687812968332,79.10228866919215
