Date,9,10,2019
Vehicle_order,SKODA_TARGET,MAZDA_3,TOYOTA_RAV4,AUDI_E_TRON,BMW_I3,MERCEDES_GLE450,TESLA_MODELX,TESLA_MODELS,AUDI_A4,
Number_of_vehicles,9
ACC,1
Distance_setting,SL
Time,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed9,E9,N9,Lon9,Lat9,Alt9,IVS4,IVS5,IVS6,IVS7,IVS8
3271.9,13.293186724919396,109.51943722741954,20.57660875512345,16.846376146533782,46.88548209453128,227.917,13.233255091862144,105.20368805770208,-22.4474266771957,16.846319513993322,46.88509507674001,227.72299999999998,13.027541291412373,102.18009177236065,-63.154711460391,16.846279837466206,46.88472889901431,227.65400000000002,13.481838241109054,98.53007697413635,-96.29680877257259,16.84623194088959,46.884430773067464,227.6352,13.318513443723422,96.40048038552479,-132.96088511671596,16.846203995691614,46.88410096556098,227.1695,13.410545261021795,95.70527429345807,-155.45951766025215,16.84619487299111,46.88389858168448,227.122,14.89444254587445,91.34017114239741,-188.3763575103448,16.84613759281307,46.88360248201539,227.16099999999997,36.29086169719981,28.88086945987677,32.12119175031418,17.45813681146537,28.508686636409802
3272.0,13.292136814662635,109.63815759370749,21.899927534032866,16.846377704417634,46.88549399829404,227.917,13.234212980885001,105.31736159888634,-21.129302753902152,16.846321005651234,46.88510693377305,227.80900000000003,13.032042533533687,102.28561783653885,-61.82881358165272,16.84628122221051,46.88474082597707,227.65400000000002,13.482556002422474,98.64438480255829,-94.95290163835695,16.846233440870815,46.88444286203043,227.69326666666663,13.307029607172186,96.51328360062391,-131.6390789284277,16.84620547592886,46.884112855717404,227.1695,13.376145027435985,95.81509199107693,-154.12433841086218,16.846196314051507,46.88391059213674,227.174,14.869001502585794,91.46281667293293,-186.8989562928404,16.846139202204093,46.88361577180912,227.18625,36.28371352932405,28.862007780976658,32.14334275633975,17.4448625948909,28.36601313404031
3272.1,13.290830311851115,109.7565191823752,23.22301213939352,16.8463792575935,46.885505899950324,228.013,13.234918683770134,105.4311675532151,-19.811322440045387,16.84632249904672,46.88511878951426,227.80900000000003,13.036687661514824,102.39314225293036,-60.58458615641324,16.84628263317779,46.88475201828261,227.65400000000002,13.483273763735895,98.75869263098026,-93.60899450414136,16.84623494085204,46.884454950993394,227.75133333333332,13.298940629531096,96.62667214841629,-130.31706600885667,16.846206963847006,46.88412474773346,227.1695,13.344712097823605,95.92488007013051,-152.7925032605043,16.846197754723235,46.88392257250757,227.174,14.843560459297144,91.5853265091626,-185.42403935528682,16.846140809814493,46.88362903925578,227.2115,36.357729274246225,28.762183974259692,32.16525343657996,17.435157179244786,28.222502390071593
3272.2,13.289267216484824,109.87414971417739,24.546088640082807,16.846380801176224,46.8855178015337,228.013,13.235372200517553,105.54516625700752,-18.49323402230928,16.84632399497152,46.88513064622789,227.80900000000003,13.040849522381675,102.50343041471312,-59.290788784845034,16.846284080411756,46.88476365648892,227.68400000000003,13.483991525049314,98.87300045940219,-92.26508736992572,16.846236440833266,46.88446703995636,227.8094,13.294246510800145,96.74010741618416,-128.99515967282306,16.84620845237823,46.88413663879076,227.1695,13.318140695020466,96.0348913213254,-151.4630527208536,16.8461991983235,46.883934531427876,227.174,14.81811941600849,91.70763406025291,-183.95162179054543,16.846142414770448,46.88364228421962,227.23675,36.38222892364904,28.711935251316923,32.18726781599713,17.427723810616335,28.079162760119853
3272.3,13.287447528563776,109.99138058916985,25.868875570218425,16.84638233951453,46.885529700512286,228.013,13.23557353112725,105.65931480421759,-17.17499603234421,16.846325492862608,46.885142504287,227.80900000000003,13.044528116134243,102.61718270931084,-58.08042665640306,16.8462855731031,46.884774544163065,227.68400000000003,,,,,,,13.292947250979342,96.85367064118572,-127.67345938973831,16.846209942588548,46.884148527994526,227.1695,13.296430819026565,96.14491291398687,-150.1362688979076,16.846200642059465,46.883946466360044,228.0705,14.792678372719836,91.82963625482279,-182.48176703949173,16.846144015719428,46.88365550612998,227.262,36.48983637395659,,,17.42275418657299,27.935763250314
3272.4,13.285371248087964,110.10819059216897,27.19161509748521,16.84638387233003,46.88554159906445,228.013,13.23552267559923,105.77352272020686,-15.857082605288213,16.84632699153275,46.88515435942654,227.842,13.047723442772524,102.73511457654223,-56.87789409139707,16.846287120640035,46.88478536140725,227.68400000000003,,,,,,,13.295042850068679,96.96748317622765,-126.35166473552827,16.846211436070384,46.8841604180472,227.08700000000002,13.279582469841895,96.25493468884876,-148.8119735178495,16.84620208579782,46.88395837890771,228.292,14.759514717847367,91.95122598481736,-181.01440295224967,16.846145611255924,46.88366870563584,227.195625,36.604625117951095,,,17.420374585913724,27.792422122365185
3272.5,13.283038375057385,110.22456410888365,28.5142573706209,16.84638539941783,46.88555349674178,228.054,13.23521963393349,105.88775489044869,-14.538941971400833,16.846328490521163,46.885166216609896,227.842,13.050435502296526,102.85797368822664,-55.66297015217436,16.846288732833735,46.88479629011662,227.68400000000003,,,,,,,13.300533308068161,97.0817029099893,-125.02986532998379,16.8462129348956,46.88417230814262,227.08700000000002,13.267595647466473,96.36535048556676,-147.489433371935,16.84620353470665,46.88397027566638,228.292,14.726351062974903,92.0726876738888,-179.54988158812213,16.846147205112224,46.88368187957031,227.12925,36.706925772750594,,,17.419755162062685,27.65022986962369
3272.6,13.280448909472046,110.3402820390942,29.836549194439296,16.846386917902826,46.8855653912667,228.054,13.234664406130028,106.00190931784617,-13.220537456470998,16.846329988489412,46.88517807616697,227.842,13.052664294706238,102.98655059836777,-54.35993894165839,16.846290420058082,46.88480801138488,227.69400000000002,,,,,,,13.309418624977784,97.1963614517919,-123.70836002940405,16.846214439478988,46.884184195592454,227.08700000000002,13.260470351900294,96.47608451440071,-146.1685307495226,16.846204987791413,46.88398215769488,228.292,14.693187408102439,92.19399617546343,-178.08820976470773,16.846148796958357,46.883695027872065,227.062875,36.72120074768753,,,17.42048298241639,27.50930347834269
3272.7,13.277602851331945,110.45548097387908,31.15875966011465,16.84638842957741,46.885577285059746,228.054,13.233856992188848,106.11602643535316,-11.902130988745803,16.846331485968072,46.88518993574161,227.842,13.054409820001664,103.12183779654845,-53.10144350046996,16.84629219533681,46.88481933203673,227.69400000000002,,,,,,,13.321698800797552,97.31096456396048,-122.38662038906622,16.846215943335014,46.88419608515025,227.08700000000002,13.258206583143352,96.586915616285,-144.84912517504603,16.846206442150002,46.883994026256865,228.292,14.660023753229973,92.31508196933024,-176.62952054044442,16.846150385882055,46.88370814934419,226.99650000000003,36.77941182197552,,,17.422937055521153,27.36989410402698
3272.8,13.274729341555519,110.57015570211338,32.480864513633925,16.846389934373203,46.88558917790279,228.054,13.233198759341507,106.22985218555642,-10.583467882924062,16.84633297962332,46.88520179762479,227.8435,13.055672078182807,103.30258323730342,-51.70075149381522,16.846294567132087,46.88483193180152,228.325,,,,,,,13.334035167399307,97.426239157663,-121.06536345985865,16.846217456002414,46.884207970365885,227.19299999999998,13.26080434119565,96.69832198251736,-143.53127524119023,16.84620790405738,46.88400588082526,227.7625,14.622596414235261,92.43589939314717,-175.17371208728485,16.84615197128412,46.88372124490267,226.973125,36.69279288895414,,,17.42646721862832,27.23191281344221
