Date,8,10,2019
Vehicle_order,SMART_TARGET,MERCEDES_GLE450,TESLA_MODELX,TESLA_MODELS,AUDI_E_TRON,
Number_of_vehicles,5
ACC,1
Distance_setting,M
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,IVS1,IVS2,IVS3,IVS4
924.4,8.181064502918067,103.16442872142828,101.86471839898572,16.84486275422756,46.895938312426914,244.365,8.20906425956134,90.54009924129818,115.87268558844015,16.84469709403232,46.896064319494066,244.69799999999998,7.968754081595246,78.07049108445506,124.15819062192877,16.844533464136163,46.89613885080721,244.7205,7.7493426636514675,62.232571546375006,131.78722136341088,16.844325634259178,46.896207476880925,245.0135,8.04708272186303,46.63584854893642,138.4268801488345,16.84412096943473,46.89626720317233,245.1705,14.742720497506363,11.533590429829598,12.528350824641366,12.254869758591742
924.5,8.181861418268294,103.73605739921827,101.27967069854648,16.84487025530859,46.89593304969722,244.365,8.219568517925135,91.16907093623327,115.36792168656844,16.844705347585425,46.8960597789481,244.69799999999998,7.978229635245742,78.73855762731749,123.73816359139023,16.84454223070346,46.89613507250208,244.7205,7.767059525795933,62.93578147106123,131.4573770809426,16.844334861988354,46.89620450980439,245.0135,8.023304868803931,47.393997568481645,138.1662281336815,16.844130918090993,46.896264858506925,245.1705,14.764215199539409,11.548207560151393,12.536090651532572,12.231636950331506
924.6,8.182611104842445,104.30409498899814,100.6913629440082,16.844877709266296,46.89592775764208,244.365,8.230894738142924,91.79735075940769,114.85755455113014,16.844713592059588,46.89605518799888,244.933,7.985140673812804,79.40522529669866,123.31287487729305,16.84455097891432,46.89613124686608,244.7985,7.786123967678403,63.638654159804965,131.12301927604872,16.844344085292214,46.89620150212699,245.0135,8.000794570239668,48.14874895083818,137.90178080209006,16.844140822162462,46.89626247970121,245.1705,14.782525077576803,11.564167509489494,12.543740231277745,12.211925574362386
924.7,8.183313562640517,104.8685082379637,100.09978570083229,16.84488511566433,46.89592243617663,244.365,8.243042920214721,92.42499876692827,114.34250163587494,16.844721828242868,46.89605055489928,244.50900000000001,7.989487197296452,80.0693289458828,122.88232306949028,16.84455969347935,46.89612737388653,244.7985,7.806535989298919,64.34124631939166,130.7841290043342,16.844353304914893,46.896198453678295,244.77599999999998,7.9795518261701925,48.900353820948546,137.63354112898895,16.84415068494446,46.89626006678189,245.237,14.798294725675484,11.581951757243548,12.550218138725398,12.195559847956293
924.8,8.18396879166251,105.4292668500983,99.50494076362764,16.844892474105134,46.89591708531702,244.365,8.256013064140527,93.05203159699724,113.82138648081984,16.844730056353615,46.896045867267496,244.50900000000001,7.991269205696668,80.73259023440559,122.44746666142349,16.84456839699067,46.89612346218543,244.7985,7.82829559065746,65.04352315071421,130.44047533398646,16.844362520399734,46.896195362381,244.77599999999998,7.959576636595522,49.648555437395885,137.36182409902443,16.844160503067958,46.896257622582425,245.237,14.810469968743618,11.60147236049751,12.556577074901307,12.182960103708384
924.9,8.184576791908425,105.98633763120738,98.90679596970527,16.844899784153125,46.89591170477392,244.56400000000002,8.269805169920334,93.67871558759776,113.29464839562195,16.844738279886787,46.89604112905527,244.50900000000001,7.9904866990134575,81.39436487036309,122.00788130236329,16.844577080993695,46.89611950794559,244.7985,7.851402771754026,65.74570371814066,130.09183892500423,16.844371734621376,46.896192226262045,244.77599999999998,7.940869001515668,50.39368500905222,137.08627426864157,16.844170280879165,46.89625514390542,245.237,14.819220571231401,11.62299417554038,12.56214057598752,12.173967532228286
925.0,8.184954336385706,106.5396984238184,98.30534464979416,16.844907045517544,46.89590629448734,244.56400000000002,8.283442381583686,94.30472514111324,112.7631568607775,16.844746494569794,46.89603634808393,244.50900000000001,7.989451963081637,82.05444257924229,121.56381139430351,16.84458574272914,46.89611551336551,244.7985,7.874968451743487,66.44782934376354,129.73836280176812,16.844380948122055,46.896189046608,244.77599999999998,7.92378436946145,51.13587936761167,136.80703953198872,16.844180020173642,46.89625263208128,245.237,14.825426645711481,11.646057822837578,12.566645118858585,12.168495444853821
925.1,8.184918198101803,107.08929083364788,97.70050754856672,16.844914257432134,46.89590085374435,244.56400000000002,8.295947843160116,94.93043362147938,112.22504723269121,16.84475470530203,46.89603150758031,244.50900000000001,7.990477283736018,82.7125999596405,121.11487898217504,16.844594379265466,46.89611147504533,244.7985,7.898103549780687,67.1499118737207,129.3800684273713,16.844390161057216,46.896185823611916,244.77599999999998,7.9086781889637185,51.8751522685951,136.524243051686,16.84418972113188,46.896250088217876,245.237,14.827463406835227,11.672011210464973,12.570077366515525,12.16658334603851
925.2,8.184468377056714,107.63501908300778,97.09234547559464,16.84492141864006,46.89589538309197,244.2675,8.307321554649652,95.55563200421754,111.68178023370304,16.844762909340613,46.89602662068414,244.7,7.993562660976597,83.3692444669298,120.6613071939036,16.844602995949426,46.89610739499217,245.037,7.920808065865673,67.85206122855898,129.0167909907934,16.844399374869276,46.896182555791285,244.77599999999998,7.895550460022434,52.6113977477518,136.23763356543796,16.844199382363396,46.896247510055005,245.00099999999998,14.826490333973597,11.699629632226804,12.57253070519159,12.168388358684053
925.3,8.183604873250433,108.1769758758658,96.48092102453786,16.844928530357812,46.89588988309321,244.2675,8.31756351605228,96.18068184759599,111.13250092079814,16.84477111143002,46.896021679704894,244.7,7.998708094803381,84.0242074455608,120.2031647720008,16.844611590567858,46.896103273824394,245.037,7.943081999998424,68.55406322035873,128.64833815960202,16.844408586747598,46.896179241415965,244.86,7.8844011826376175,53.34490047179966,135.9471799277566,16.844209007603663,46.89624489731253,244.89,14.821650096391465,11.729884282037544,12.57392736509608,12.173526468427625
925.4,8.182327686682966,108.71514407216247,95.86625733714794,16.844935592360482,46.895884353956305,244.2675,8.326673727367995,96.80495761777692,110.57921604988859,16.844779303361808,46.89601670269409,244.7,8.005913585216366,84.67731048592267,119.74026310284712,16.844620160779638,46.89609910984537,244.6175,7.964925352178938,69.25609066101204,128.27497102670776,16.84441779895986,46.896175882834605,244.86,7.875230356809273,54.075835873393615,135.6528544767477,16.844218599154765,46.89624224974158,244.89,14.814884903087272,11.761096200901546,12.57418110104831,12.181869974567947
925.5,8.18063681735431,109.24951378848564,95.24837107357462,16.84494260451837,46.89587879583107,244.2675,8.334652188596802,97.4285788009474,110.02021472494414,16.84478748670391,46.8960116742616,244.7,8.01517913221555,85.32848712521309,119.27381583191038,16.844628705712605,46.89609491397227,244.6175,7.986338122407215,69.95810147044797,127.89668241882364,16.844427010953883,46.8961724799827,244.86,7.868037982537391,54.80450351823728,135.3549384025985,16.84422816094769,46.8962395698716,244.89,14.80479669142656,11.795164051411154,12.572686693267524,12.193236252699206
925.6,8.178532265264469,109.78007010849613,94.62727705977726,16.84494956663574,46.89587320885089,244.2675,8.341498899738692,98.0509405110503,109.45667632302064,16.844795653518837,46.896006605016325,244.7,8.026504735800925,85.97786640476092,118.80171609262459,16.844637227060087,46.89609066725305,244.6175,8.00732031068323,70.66019526673819,127.51319864868124,16.84443622403689,46.89616903039829,244.86,7.862824059821983,55.530827167538064,135.05342296026882,16.84423769198201,46.89623685762392,244.89,14.792680736786165,11.829509278573301,12.570371337429485,12.207903109745375
925.7,8.176014030413441,110.30680599796213,94.00299639995735,16.844956478620286,46.8958675932056,244.36700000000002,8.347213860793678,98.67297311862332,108.8883646522098,16.84480381601518,46.89600149283368,244.4425,8.039890395972515,86.62519764142563,118.32459344563013,16.844645721532544,46.896086375350826,244.6175,8.027871917007035,71.3621146526073,127.12449077227154,16.84444543483123,46.896165533821026,244.86,7.859588588663035,56.254762829619104,134.7480096020093,16.844247191680456,46.896234110312975,244.89,14.777778234778546,11.865570807996646,12.566935386589286,12.225562745187617
925.8,8.173570507629222,110.82971784257285,93.37557829602056,16.844963340424584,46.89586194933778,244.36700000000002,8.352800417176633,99.29417803750107,108.31534898447342,16.844811967650347,46.89599633833677,244.49400000000003,8.05440460922186,87.27043110031398,117.84307119593242,16.84465418847734,46.8960820438725,244.69799999999998,8.048418323403475,72.06395149678507,126.73055971190222,16.84445464454243,46.896161990259216,244.979,7.85784122591632,56.976793970330135,134.4389252438976,16.844256666387206,46.896231329979976,244.9955,14.760439739143665,11.903315859292192,12.561956264866224,12.24597083065511
925.9,8.171690091739817,111.34882402933451,92.74506458725651,16.84497015228991,46.895856277623814,244.36700000000002,8.359261914302428,99.9137915876275,107.73813605725695,16.844820098403098,46.89599114608387,244.49400000000003,8.069115872040515,87.91393629516949,117.35724207371479,16.84466263274334,46.89607767365217,244.69799999999998,8.069384911897425,72.76551339632529,126.33141612206741,16.844463850645727,46.896158399808705,244.979,7.857091628437603,57.69702082185728,134.12589084028798,16.844266117417536,46.89622851411479,244.9955,14.741535756903975,11.94158838456276,12.555881420353279,12.268741207775758
926.0,8.170372782745224,111.86412739425352,92.11148884623259,16.84497691425348,46.89585057836568,244.36700000000002,8.366598352171065,100.53199946492758,107.15671398980379,16.844828210710197,46.895985915968154,244.49400000000003,8.084024184428483,88.55559178699251,116.86698461050185,16.84467105273699,46.89607326359722,244.69799999999998,8.090771682488885,73.46685567654995,125.92739252533977,16.844473053867116,46.896154765460636,244.979,7.857339796226883,58.41536714665282,133.80915323677246,16.844275543771037,46.89622566493789,244.9955,14.720941346339671,11.980551422693438,12.548792882031375,12.293955337896184
