0,0,0,0,2.32525110277493e-15,0.108
0.1,0,-0,0,0.054257174754321,0.10831428521333
0.2,0,-0,0,0.275524582012553,0.108289651611419
0.3,0,0,0,0.925810519546759,0.11316863752807
0.4,0,0,0,0.429974539995946,0.111556742298516
0.5,0,0,0,0.418934809570403,0.111502312779822
0.6,0,0,0,0.418737781519032,0.11151501979403
0.7,0,0,0,0.418755878327077,0.111529222429163
0.8,0,0,0,0.418778161189884,0.111543596679582
0.9,0,0,0,0.418800472726691,0.11155811571781
1,0,0,0,0.418822731059946,0.111572778431491
1.1,0,-0,0,0.416542950205903,0.11155689759739
1.2,0,-0,0,0.416494141602756,0.111555425881215
1.3,0,-0,0,-0.36813377819323,0.0591526935886779
1.4,0,-0,0,0.0612976809001073,0.106947644375781
1.5,0,0,0,0.666113466560191,0.109130239102267
1.6,0,0,0,0.426548868582608,0.109389458950041
1.7,0,0,0,0.417032969912816,0.109383219008495
1.8,0,0,0,0.416680210189423,0.10938296446795
1.9,0,0,0,0.416667167371693,0.109382955024882
2,0,0,0,0.416666685177701,0.109382954675728
2.1,0,0,0,0.416666667351016,0.10938295466282
2.2,0,0,0,0.41666666669197,0.109382954662343
2.3,0,0,0,0.416666666667598,0.109382954662325
2.4,0,0,0,0.416666666666702,0.109382954662324
2.5,0,0,0,0.416666666666673,0.109382954662324
2.6,0,0,0,0.416666666666673,0.109382954662324
2.7,0,0,0,0.416666666666673,0.109382954662324
2.8,0,0,0,0.416666666666673,0.109382954662324
2.9,0,0,0,0.416666666666673,0.109382954662324
3,0,0,0,0.416666666666673,0.109382954662324
3.1,0,0,0,0.487008491664102,0.111940362698097
3.2,0,0,0,0.418398923896018,0.111531225669389
3.3,0,0,0,0.417044411970368,0.111524950395939
3.4,0,0,0,0.417020780509902,0.111527174001014
3.5,0,0,0,0.417023077477202,0.111529581901974
3.6,0,0,0,0.417025877904763,0.111532011742422
3.7,0,0,0,0.417028686964462,0.111534460346873
3.8,0,0,0,0.417031495025604,0.111536927640851
3.9,0,0,0,0.41703430189286,0.111539413610151
4,0,0,0,0.417037107554233,0.111541918241649
4.1,0,-0,0,0.416332376219863,0.111535057445394
4.2,0,-0,0,0.41631120286707,0.111532548974872
4.3,0,-0,0,-0.395251621835096,0.0561840553812992
4.4,0,-0,0,0.0214675809349357,0.107656924787836
4.5,0,0,0,0.884683102786847,0.108129347677206
4.6,0,0,0,0.436481086001531,0.109394678951298
4.7,0,0,0,0.417403071188464,0.109383484280358
4.8,0,0,0,0.416693896807385,0.109382974374696
4.9,0,0,0,0.416667673370607,0.10938295539127
5,0,0,0,0.416666703884464,0.109382954689274
5.1,0,0,0,0.48746836434945,0.111945523683716
5.2,0,0,0,0.418898091444836,0.111539952022626
5.3,0,0,0,0.417551352708296,0.111537121165326
5.4,0,0,0,0.417534075882185,0.111542833500379
5.5,0,0,0,0.417542647094742,0.111548771469484
5.6,0,0,0,0.417551710817695,0.111554772626754
5.7,0,0,0,0.41756077492234,0.111560833713406
5.8,0,0,0,0.417569829799679,0.111566954566478
5.9,0,0,0,0.417578875186737,0.111573135082247
6,0,0,0,0.417587911001747,0.111579375157271
6.1,0,0,0,0.41688712593982,0.111576195799346
6.2,0,0,0,0.416874090199406,0.111577500746322
6.3,0,0,0,0.416874208153996,0.111578893950418
6.4,0,0,0,0.416874577438144,0.111580291234952
6.5,0,0,0,0.41687495143536,0.111581690989074
6.6,0,0,0,0.416875325433956,0.111583093181012
6.7,0,0,0,0.416875699343851,0.111584497809178
6.8,0,0,0,0.416876073163191,0.111585904872562
6.9,0,0,0,0.41687644689182,0.11158731437016
7,0,0,0,0.416876820529616,0.111588726300969
7.1,0,0,0,0.416897068475776,0.11159035722802
7.2,0,0,0,0.417024389062876,0.111593202362313
7.3,0,0,0,0.416931584231407,0.111594356677624
7.4,0,0,0,0.416930791771757,0.111596121618034
7.5,0,0,0,0.416931748045794,0.111597904579571
7.6,0,0,0,0.416932737240991,0.111599694285407
7.7,0,0,0,0.416933726761214,0.111601490517868
7.8,0,0,0,0.416934715986616,0.111603293269512
7.9,0,0,0,0.416935704904508,0.111605102536878
8,0,0,0,0.416936693513681,0.111606918316573
8.1,0,-0,0,-0.347293794633777,0.0613164800147873
8.2,0,0,0,2.24681455107732,0.103324461322208
8.3,0,0,0,0.608837431629426,0.1092676472915
8.4,0,0,0,0.424155562576083,0.109388003425461
8.5,0,0,0,0.416944080938308,0.109383155025154
8.6,0,0,0,0.416676923409153,0.109382962088518
8.7,0,0,0,0.416667045858855,0.109382954936896
8.8,0,0,0,0.416666680685383,0.109382954672475
8.9,0,0,0,0.416666667184941,0.109382954662699
9,0,0,0,0.416666666685828,0.109382954662338
9.1,0,0,0,0.48871451489405,0.112024435811198
9.2,0,0,0,0.41850955809466,0.111595422202246
9.3,0,0,0,0.417153933281838,0.111589648313155
9.4,0,0,0,0.417132074777228,0.111592619672294
9.5,0,0,0,0.417135641297499,0.111595784562349
9.6,0,0,0,0.417139689701758,0.111598979537241
9.7,0,0,0,0.417143745084103,0.111602201457544
9.8,0,0,0,0.417147798395857,0.11160545023962
9.9,0,0,0,0.417151849448451,0.11160872585783
10,0,0,0,0.417155898221701,0.111612028287456
10.1,0,-0,0,0.416478831649957,0.11160621254901
10.2,0,-0,0,0.416461370942261,0.111604728947452
10.3,0,-0,0,-0.387115219632814,0.0565551831379493
10.4,0,-0,0,0.0513397582545539,0.107087711145104
10.5,0,0,0,0.67877792255767,0.109093146131534
10.6,0,0,0,0.427088955625081,0.109389776811758
