,Speed2,Speed3,Speed4,Speed5,Speed6,Speed7,Speed8,Speed9,Speed10,Time
0,0.0,1.0874420735087521e-16,5.482395340115041e-15,-1.3234889800848443e-23,3.1554436208840472e-30,7.888609052210118e-31,0.0,0.0,-2.117582368135751e-22,0.0
1,0.015806698349431363,0.009655998850551285,0.008289841882891457,0.000599559225380851,0.08624351994835143,0.023259851793374177,0.02608210597182194,0.006791077471280897,0.00969816129478322,0.10000000000013642
2,0.014625740359436371,0.010253988918820135,0.009103748388861715,0.0011992538552599715,0.08059335920681888,0.01852856308449709,0.02136220478067454,0.005600685886938377,0.01939632258956643,0.20000000000004547
3,0.013770302440864671,0.010556512678351938,0.010036798268341382,0.0025827072673918596,0.07497366680804599,0.01510520663117279,0.017740231737511342,0.004760024781747078,0.029094483884349667,0.3000000000001819
4,0.013240384593720272,0.010566471143081332,0.011096023076662884,0.003744765799838857,0.0693844427520535,0.012989782433407792,0.015216186842339644,0.004269094155708678,0.03879264517913287,0.40000000000009095
5,0.01303598681800307,0.010283864313008538,0.012281422813831879,0.004685255784350858,0.06382568703884138,0.01218229049120229,0.013790070095159342,0.0041278940088234775,0.04849080647391608,0.5
6,0.01315710911371317,0.009708692188133439,0.013592997479848283,0.0054041772209276594,0.058297399668409786,0.012682730804556093,0.013461881495970544,0.004336424341091178,0.058187838627656446,0.6000000000001364
7,0.013603751480850471,0.008840954768456142,0.01503074707471198,0.005901530109569357,0.0527995806407586,0.014491103373469292,0.014231621044773143,0.004894685152511978,0.06134877024408899,0.7000000000000455
8,0.014375913919414916,0.007680767361279832,0.016594418565692062,0.006177314450275959,0.047332229955887796,0.017607408197941734,0.0160992887415671,0.00580267644308571,0.06450857271947881,0.8000000000001819
9,0.01523145006810506,0.006576651324868628,0.018010198781548536,0.006231530243047357,0.041895347613797505,0.020895587827731075,0.018433177153615157,0.0067640116702797435,0.0676683751948686,0.900000000000091
10,0.015928213565612758,0.005877128017495831,0.01900427455103424,0.006064201076455033,0.03699094995588563,0.02321958481256458,0.020601578848162955,0.0074823042915533435,0.07082747597699691,1.0
11,0.016466204411937958,0.00558231274646483,0.019576392841418246,0.005811894397483007,0.03312105332356372,0.024579399152441773,0.02260449382521046,0.007957554306906542,0.0699247832994953,1.1000000000001364
12,0.01684542260708056,0.0056922055117755305,0.019726553652700343,0.005611177653118608,0.030285657716831827,0.024975030847362675,0.024441922084757456,0.008189761716339242,0.06902138892873243,1.2000000000000455
13,0.01706586815104066,0.006206806313428031,0.01945475698488054,0.005462074431933408,0.028484763135689924,0.024406479897327374,0.026113863626804158,0.008178926519851444,0.0681179945579694,1.300000000000182
14,0.01712754104381826,0.00712611515142233,0.018761002837958736,0.0053645847339273064,0.027718369580138024,0.022873746302335875,0.02762031845135045,0.007925048717443144,0.06721456905158534,1.400000000000091
15,0.01703044128541336,0.008450132025758424,0.017645291211935307,0.005318708559100406,0.027986477050176223,0.02037683006238808,0.028961286558396356,0.0074281283091143435,0.0661309131376712,1.5
16,0.016774568875825874,0.010178735429973565,0.016107953298909076,0.005324445907452806,0.029289085545804526,0.016915731177484215,0.030136767947941925,0.006688165294865197,0.06504722608813601,1.6000000000001364
17,0.01642613323695399,0.011944666775977894,0.014507380515474287,0.0053817967789842065,0.031626195067022626,0.01353229741575215,0.031004839931717085,0.00593771835013175,0.0639635390386007,1.7000000000000455
18,0.01605134379069939,0.013380667475661592,0.013201964278244742,0.005490755219699498,0.03413073555926854,0.01126837654537625,0.03142357982144449,0.005409346150362749,0.06287990245682522,1.800000000000182
19,0.015650200537061988,0.014486616022561986,0.01219203577931915,0.005616850216668189,0.03593563696793294,0.010123968566356951,0.03139298761712389,0.005103048695558448,0.06208840152477401,1.900000000000091
20,0.01522270347604179,0.01526251241667889,0.011477595018697847,0.00572561075695829,0.03704089929301573,0.01009907347869405,0.030913063318755384,0.005018825985718748,0.06129695106048251,2.0
21,0.01476885260763879,0.015708356658012394,0.011058641996380944,0.00581703088657419,0.037446522534516725,0.01119369128238765,0.029983806926338997,0.005156678020843548,0.06050550059619101,2.1000000000001364
22,0.014288647931853091,0.015824148746562492,0.010935176712368246,0.00589111060551599,0.03715250669243623,0.01340782197743785,0.028605218439874597,0.005516604800933049,0.059714225568186355,2.2000000000000455
23,0.01378208944868459,0.01560988868232929,0.011107199166659792,0.005947849913783691,0.036158851766773935,0.01674146556384445,0.02677729785936229,0.006098606325987147,0.05993847399074102,2.300000000000182
24,0.013249177158133313,0.0150656320982105,0.011574511091881828,0.0059872488113773895,0.03446555775752993,0.021194622041607304,0.024500045184802175,0.0069026825960057,0.0601628978495824,2.400000000000091
25,0.012785328626465833,0.014359531856807618,0.012122562306578948,0.006009307298296889,0.03207262466470454,0.025683175306938855,0.022143762957835763,0.007711051263920649,0.060387321708423695,2.5
26,0.012485961419956134,0.01365974082073562,0.012536802629278192,0.006014025126688342,0.029905707584459658,0.02912300925596256,0.020078753720134655,0.008305929982645949,0.060611863597576206,2.6000000000001364
27,0.012351075538604433,0.012966314622892421,0.012817033792605893,0.0059999673312848955,0.02889046161303325,0.03151412388867836,0.018305017471699058,0.008687318752181549,0.06151963101012879,2.7000000000000455
28,0.012380670982410732,0.01227925326327792,0.012963255796561993,0.0059656989468194945,0.029026886750425456,0.03285651920508606,0.01682255421252896,0.00885521757252745,0.06242751645299259,2.800000000000182
29,0.012574747751374835,0.011598556741892318,0.01297546864114629,0.005911219725438295,0.030314982996636253,0.033150195205185855,0.01563136394262436,0.00880962644368365,0.06333540189585632,2.900000000000091
