,Speed2,Speed3,Speed4,Speed5,Speed6,Speed7,Speed8,Speed10,Time
0,1.6093625997831706e-19,0.0,2.8487917190338797e-19,2.9469123267924363e-16,0.0,0.0,1.64959666477775e-19,7.90917014498703e-20,0.0
1,0.015630825196357324,0.0,0.0530043469241405,0.02255144009322963,0.0,0.021308225724183335,0.011458116643103908,0.01562580587119259,0.1000000000003638
2,0.018246696192427213,0.0,0.0514174044645457,0.02469246828343436,0.0,0.021090181960901563,0.012037809326716338,0.01647964844763544,0.2000000000007276
3,0.02058522814122091,0.0,0.0515868440862224,0.026475120536891626,6.63679060296404e-272,0.020864397323464057,0.012583176736253135,0.016926213129144437,0.2999999999992724
4,0.02264717633711551,0.0,0.053512665789170494,0.02790634895126096,5.30885323780393e-156,0.020630871826425663,0.013094895550108438,0.016966191595252342,0.3999999999996362
5,0.024432540780110906,0.0,0.05719486957339,0.028986153526542553,3.257529023757022e-73,0.02038960546978646,0.013572965768282336,0.01659958384595914,0.5
6,0.02594132147020711,7.586546404317187e-278,0.0626334554388809,0.029714534262736462,1.533277767489733e-23,0.02014059825354646,0.014017387390774738,0.015826389881264738,0.6000000000003638
7,0.02717351840740401,3.96948071202253e-220,0.0698284233856432,0.030091491159842644,5.536028959898912e-07,0.019883850177735876,0.01442815726652216,0.014646626826021952,0.7000000000007276
8,0.028129125380153094,3.365032057006086e-169,0.0767440035844178,0.03011702421786115,1.565425617339591e-06,0.019664031597018593,0.014754771768338983,0.013415975503108865,0.7999999999992724
9,0.02870337555268909,4.6217946706223375e-125,0.0813444262065379,0.02979125422236514,2.461359897188548e-06,0.019525812866045596,0.014946727269053887,0.012490116735300158,0.8999999999996362
10,0.02879150208927719,1.0284851405249947e-87,0.0836296912520038,0.029462808437108783,2.9077075050045343e-06,0.019469193984847193,0.015004020617603486,0.011869067647448559,1.0
11,0.02839349877836879,3.7080990581400874e-57,0.0835997987208152,0.029480314125744894,2.904468440787551e-06,0.01949417495342319,0.014926651813987784,0.01155282823955406,1.1000000000003638
12,0.027509365619963883,2.166060412390262e-33,0.0812547486129722,0.0298438920738465,2.451642704537597e-06,0.019600755771773795,0.014714620858206883,0.011541398511616664,1.2000000000007276
13,0.026139102614062493,2.0500088459830623e-16,0.0765945409284749,0.03055354228141379,1.5492302962546741e-06,0.01978893643989889,0.014367927750260686,0.011834778463636265,1.2999999999992724
14,0.02428270976066449,3.143452028337452e-06,0.0696191756673231,0.031609264748446594,1.9723121593878002e-07,0.020058716957798397,0.013886572490149286,0.01243296809561296,1.3999999999996362
15,0.02194018705977009,0.007815798444104818,0.060328652829517,0.03301105947494499,5.462584112988819e-24,0.020410097325446002,0.013270560961632243,0.013335952162990048,1.5
16,0.01911157348539429,0.01562950521493615,0.051231484094841,0.03475892646090899,1.1605546411794719e-73,0.02080391278543891,0.0126141950459538,0.014227103328906737,1.6000000000003638
17,0.016454222692636175,0.018246601350114734,0.0448361811419844,0.03685268942851093,1.891376629199783e-156,0.02120099858039151,0.0120117766243168,0.014789794256640638,1.7000000000007276
18,0.01462548833630798,0.02058513329890853,0.0411427439709473,0.038783552044723,2.364478757783982e-272,0.02160135471027731,0.011463311580481101,0.015024009701635036,1.7999999999992724
19,0.013625409390424668,0.022647081494803163,0.0401511725817297,0.04004271797673984,4.6373553739432824e-271,0.02200498117509631,0.0109687999144466,0.014929749663889939,1.8999999999996362
20,0.013453985854986469,0.024432445937798558,0.0418614669743316,0.04063001094673374,3.7094795557758136e-155,0.02241187797484851,0.0105282416262133,0.01450701414340524,2.0
21,0.01411121772999327,0.02594122662789476,0.0462736271487529,0.040545430954704635,2.2761483050927306e-72,0.02282204510953381,0.010141636715781202,0.013755803140181039,2.100000000000364
22,0.015597105015445078,0.027173423565091653,0.053387653104993604,0.039788978000652495,1.0713542569890697e-22,0.023235482579152412,0.009808985183150303,0.012676116654217334,2.2000000000007276
23,0.017911647711341877,0.028128994610502344,0.0632035448430539,0.03836065208457741,3.868215081789412e-06,0.02365219038359898,0.009530288220520402,0.011267971969307644,2.2999999999992724
24,0.021054773605752114,0.028703208855699994,0.0732800607086053,0.03626045320647944,9.062301065708344e-06,0.023916594069820555,0.009324653794649201,0.009890351088665034,2.399999999999636
25,0.02380852306819261,0.0287913353922881,0.0811759590487403,0.03348860709538285,1.3582829025286833e-05,0.023873119184854755,0.009211189872283001,0.008902236015293833,2.5
26,0.02495493646888911,0.028393332081379688,0.086891239863459,0.03069664265539951,1.573356737128423e-05,0.02352176572859635,0.0091898976456218,0.008303644032987433,2.600000000000364
27,0.024493941595909986,0.02750919892297476,0.09042590315276139,0.028536088790262346,1.551451610370053e-05,0.02286253370104535,0.0092607771146655,0.008094575141745938,2.7000000000007276
28,0.022425538449255298,0.026138935917073378,0.09177994891664751,0.027007171228995666,1.2925675222535747e-05,0.02189542310220175,0.009423828279414102,0.00827502934156924,2.7999999999992724
29,0.01874972702892511,0.024282543063675395,0.0909533771551174,0.02610988997159922,7.967044727789874e-06,0.02062043393206555,0.009679051139867601,0.008845006632457332,2.899999999999636
30,0.013466507334919308,0.021940020362781015,0.0879461878681709,0.02584424501807323,6.386246194629093e-07,0.01903756619063685,0.0100264456960261,0.009804507014410333,3.0
31,0.006575993318100484,0.019111632212481685,0.0827583810558081,0.026210236368417624,1.7687568795014933e-23,0.017146819878206196,0.010466007574134796,0.011153515956085647,3.100000000000364
32,3.8986159133009803e-07,0.01645450684379998,0.0765778153749075,0.02720786402263245,3.7578167460023506e-73,0.015378041368410545,0.010927636479273596,0.012590219481668174,3.2000000000007276
