Date,9,10,2019
Vehicle_order,SKODA_TARGET,JAGUAR_I_PACE,BMW_I3,MERCEDES_GLE450,TESLA_MODELX,TESLA_MODELS,TESLA_MODEL3,AUDI_E_TRON,TOYOTA_RAV4,MAZDA_3,AUDI_A4,
Number_of_vehicles,11
ACC,1
Distance_setting,S
Time,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed10,E10,N10,Lon10,Lat10,Alt10,IVS2,IVS3,IVS4,IVS5,IVS6,IVS7
10271.2,13.377622535547367,97.85686956253643,-110.81009898089356,16.846223106862293,46.88430022042489,227.4435,13.425662948976363,94.28933284300896,-142.80548875816675,16.846176292587494,46.88401240955458,227.239,13.691138562849677,93.13056009045523,-160.69756972113996,16.846161086827795,46.883851463386094,227.122,13.503513219272088,92.59131099617993,-174.50651471651105,16.846154010641264,46.883727246600344,226.99650000000003,13.700009249317649,90.44964629936024,-200.3232956278876,16.84612590708199,46.88349501469961,226.99457142857145,13.549329019368047,87.3769334288533,-223.5665010202825,16.846085586032473,46.88328593310317,226.88099999999997,13.341171411491256,85.20210506611406,-245.63183084923068,16.846057047289747,46.883087446951706,226.75799999999998,13.652634503567958,67.2107293090283,-294.3793037019889,16.84582095912164,46.882648944633544,226.524,27.476486775038747,13.592354904248529,9.214789742109119,20.85422681926294,18.749109349996928,17.35300072554803
10271.3,13.378430120980095,97.97222272762741,-109.47865010402045,16.846224620560733,46.88431219732102,227.4435,13.426021580329955,94.38064717569428,-141.55183324230708,16.846177490841242,46.88402368666942,227.2295,13.697084899147466,93.24221726386436,-159.33533652745106,16.846162552026335,46.88386371719903,227.122,13.501701230793588,92.70239113357677,-173.14662464212486,16.846155468267767,46.88373947933601,226.99650000000003,13.703015379926688,90.55105643659998,-198.95498914408668,16.846127237815885,46.88350732314412,227.0135,13.574381758868869,87.49385459032841,-222.21116126229327,16.84608712030663,46.88329812490698,226.88099999999997,13.3535429609745,85.36213646847733,-244.30391409071203,16.846059147269266,46.88309939207506,226.75799999999998,13.658854081160966,67.98488659372724,-293.25325631678123,16.845831117843108,46.88265907386405,226.953,27.55646848424048,13.482694434196315,9.217153601892043,20.846640723700308,18.759937604885653,17.376109720057578
10271.4,13.378609016166939,98.08806629371344,-108.14666503204408,16.846226140694366,46.88432417904043,227.4435,13.427016808090837,94.47793920270851,-140.3131695500053,16.846178767536074,46.88403482892704,227.2295,13.70200801887049,93.35411204198832,-157.97205477682581,16.846164020342798,46.883875980444145,227.122,13.4996999386821,92.8144477883562,-171.7866321380658,16.846156938708422,46.88375171299308,226.903,13.708912133819823,90.65343887487928,-197.5852860770303,16.846128581308598,46.88351964415144,227.0135,13.599381355795138,87.60995850172445,-220.853343634946,16.84608864385659,46.88331033900022,227.378,13.366131258184213,85.51358701553973,-242.97364504774086,16.84606113464826,46.88311135835814,226.8125,13.664707917978456,68.74522819152672,-292.11623332080467,16.845841095271034,46.882669301824386,226.953,27.651275711163212,13.357399273808506,9.220434019619184,20.837769467647973,18.76993814664237,17.400168342120462
10271.5,13.378159221107905,98.20388774247697,-106.81439611040928,16.846227660537764,46.884336163313186,227.4435,13.428648632259002,94.58249457203395,-139.09051723695904,16.846180139542643,46.884045827156115,227.458,13.705907922018756,93.46624224229716,-156.60832778316419,16.84616549174854,46.883888247694365,227.122,13.49863010025708,92.9274182841455,-170.42659504824394,16.846158421140768,46.88376394705121,226.903,13.713697809725055,90.75659335842772,-196.21432401604432,16.846129934932325,46.8835319764839,227.0135,13.624327810146852,87.72544992536044,-219.49318691906063,16.846090159369293,46.883322574134425,227.378,13.378936303120394,85.6572314415358,-241.64127455553623,16.846063019593014,46.88312334354455,226.8125,13.670196014020426,69.4914442035325,-290.96863907354543,16.84585088733884,46.88267962487723,226.5535,27.76146494895336,13.216128376171081,9.224088345163748,20.82770419571685,18.77905613484279,17.42519553500877
10271.6,13.377080735802991,98.319649526309,-105.48229204495578,16.846229179598218,46.884348146102994,227.4435,13.430917052834456,94.69570121244871,-137.88492475551502,16.846181625073747,46.88405667192544,227.458,13.708784608592264,93.57889476604107,-155.24372587939826,16.846166970008365,46.88390052281477,227.174,13.498491715518522,93.04124095307205,-169.06656729958647,16.846159914755585,46.88377618102531,226.903,13.717372407642381,90.8604791606403,-194.84191227389042,16.84613129815263,46.883544321856796,227.0135,13.649221121924016,87.840640601811,-218.13086657466,16.846091670935515,46.88333482873131,227.378,13.391958095783053,85.79344451036779,-240.30696926395882,16.8460648070213,46.88313534613523,226.8125,13.675318369286881,70.22336355505364,-289.81063538778574,16.845860491801623,46.882690041566974,226.5535,27.88747460323379,13.057479298948287,9.228613498836786,20.81619970542161,18.7876067041608,17.451147075131914
10271.7,13.375373560252195,98.43533155544321,-104.1503591871295,16.84623069761211,46.884360127352714,227.46099999999998,13.433822069817195,94.81905251374347,-136.69746955753544,16.846183243726102,46.88406735354289,227.458,13.71063807859101,93.69194530926904,-153.87867945075558,16.846168453491117,46.88391280193384,227.174,13.499284784466429,93.15585517252414,-167.70659893912213,16.84616141875736,46.8837884144652,226.903,13.719935927571802,90.96618806601258,-193.46940974421403,16.846132685296237,46.88355666804637,227.0455,13.674061291126616,87.95524112805492,-216.76660146741244,16.846093174757605,46.88334710082209,227.378,13.405196636172182,85.92316639218325,-238.97068856154368,16.8460665092703,46.88314736649549,226.8125,13.680074983777821,70.94060587670114,-288.64265628339723,16.84586990366807,46.882700547989465,226.889,28.030213193127718,12.880929473544574,9.233627067102633,20.804462830346885,18.7946344240153,17.47762993932401
10271.8,13.373037694455528,98.55114957262792,-102.81811805015056,16.84623221741048,46.88437211137554,227.46099999999998,13.437363683207225,94.95415050693846,-135.52925819726488,16.846185016522032,46.8840778620546,227.458,13.711468332014999,93.8052074062056,-152.51313426378488,16.846169939749938,46.88392508553942,227.174,13.501009307100794,93.27120140191286,-166.3467361710652,16.846162932364788,46.88380064695525,227.035,13.721388369513312,91.07161468516766,-192.0973893753973,16.846134068735598,46.88356900989872,227.0455,13.698848317754676,88.06953955382393,-215.40004980537773,16.846094674615443,46.883359393481314,227.7605,13.41865192428778,86.04698173545401,-237.6326093522472,16.846068134011954,46.88315940303402,226.8735,13.684465857493231,71.64293934081238,-287.46489052900034,16.845879119896072,46.88271114244663,226.889,28.19113178977829,12.685483663785252,9.239224673561084,20.793191281722386,18.798922801660886,17.50511981865811
10271.9,13.37007313841298,98.66701148464632,-101.48570582514469,16.84623373778485,46.88438409693735,227.46099999999998,13.439182934655662,95.1027090445,-134.38142643419633,16.846186965951222,46.884088187243975,227.41677777777767,13.71127536886423,93.91836738572106,-151.1467590065803,16.84617142466875,46.883937376611826,227.174,13.503665283421626,93.38722121943321,-164.98702139389954,16.846164454811245,46.88381287811404,227.035,13.72172973346693,91.17647661827257,-190.72743229666042,16.846135444764982,46.883581333190975,227.0455,13.723582201808178,88.18363333134027,-214.03164105231684,16.846096171787828,46.883371702845785,227.7605,13.432323960129851,86.1658228297197,-236.29260856651328,16.846069693480036,46.88317145685786,226.8735,13.688490990433142,72.33007817762211,-286.27748947597036,16.845888136735653,46.88272182357704,226.889,28.371074389409234,12.469902325473662,9.245770233301467,20.783938558050554,18.799280710921987,17.532982049831695
10272.0,13.36647989212455,98.78277645560036,-100.15313212093642,16.846235256887127,46.88439608395174,227.46099999999998,13.4410021861041,95.2665569805575,-133.255139335938,16.846189116012425,46.8840983186308,227.37555555555562,13.711122343861625,94.03186068971857,-149.7798303182901,16.846172913961546,46.88394967266253,227.174,13.507252713428919,93.50385735882557,-163.62749323746255,16.846165985345248,46.88382510759412,227.035,13.720960019432633,91.28177732234363,-189.35555911744407,16.846136826552048,46.883593673719304,227.0455,13.746995584017439,88.29787526981974,-212.6615513516309,16.846097670904427,46.883384027331026,227.7605,13.446243530841432,86.28004876397645,-234.9508665365586,16.846071192386614,46.8831835263449,226.8735,13.692371481546418,73.00153990612976,-285.08086325291686,16.845896947855586,46.8827325876914,226.889,28.571054748514282,12.233543468732519,9.253045221040283,20.772611755128786,18.799912497544323,17.56121556702793
10272.1,13.362765473281279,98.89839697488779,-98.8207890657186,16.846236774093867,46.88440806889136,227.5465,13.442821437552535,95.44764135112,-132.15159138107973,16.846191492255233,46.88410824547024,227.3343333333333,13.712072411677346,94.14589440877705,-148.41204548434234,16.84617441034582,46.88396197641461,227.239,13.511771597122667,93.62105374613691,-162.26818660002937,16.846167523231006,46.88383733508155,227.035,13.719487078546836,91.38716350549008,-187.9845046145604,16.846138209460793,46.88360600688332,227.16099999999997,13.767821105175665,88.41191958348456,-211.28964949781968,16.846099167427727,46.88339636811728,227.7605,13.460441423564019,86.39049796052534,-233.60778255525432,16.84607264173373,46.88319560790327,226.8735,13.696328429770984,73.65714564918645,-283.87506931338964,16.84590555090857,46.88274343427291,226.5655,28.79177385200034,11.975266713595893,9.261397195654396,20.761926864274173,18.797973999290303,17.590240230259212
