Date,9,10,2019
Vehicle_order,SKODA_TARGET,TESLA_MODELX,TESLA_MODELS,MERCEDES_GLE450,JAGUAR_I_PACE,BMW_I3,AUDI_E_TRON,TOYOTA_RAV4,MAZDA_3,AUDI_A4,
Number_of_vehicles,10
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed9,E9,N9,Lon9,Lat9,Alt9,Speed10,E10,N10,Lon10,Lat10,Alt10,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6,IVS9
4533.6,,,,,,,13.36273915408206,58.21349836235289,-307.41011404995527,16.845702894788985,46.88253172746904,226.31099999999998,14.198112982111569,38.00579832659051,-323.31890488130523,16.84543772335643,46.88238862176016,226.34599999999998,15.27971046427562,19.07820649451588,-336.03250752782486,16.84518934988335,46.88227425800125,226.338,16.28228661780817,3.8598735155418926,-345.91571329692965,16.844989650404933,46.88218535475383,226.25,16.7398744990655,-22.68708903335144,-361.7175215046354,16.844641293289747,46.88204321139491,226.907,17.56775499872208,-39.11861906122227,-371.9095179748613,16.844425673879876,46.881951530456035,226.7555,20.47106507883488,-108.14435438302857,-380.37530269639313,16.84351989771109,46.88187537745757,226.18,19.2263509491938,-156.41407841882852,-361.44044995128263,16.842886488077692,46.88204570376038,226.753,,20.360184274867017,18.104763768764826,13.21050177839911,26.483876643364955,14.998558717228784,47.373081598316034
4533.7,,,,,,,13.346097544606565,59.13288136699935,-306.45856119885275,16.84571495920542,46.88254028705391,226.31099999999998,14.159488404276011,39.1528649060221,-322.48778899221406,16.845452775504256,46.882396097968105,226.1595,15.236615674326641,20.35109837233808,-335.1889534445836,16.84520605314805,46.88228184609556,226.24375,16.226484542158662,5.2236947986051305,-345.0023829388967,16.845007546872257,46.88219357051263,225.9935,16.726327836858502,-21.18719272497644,-360.8396640646014,16.844660975373905,46.88205110806114,226.997,17.530414384387804,-37.53087591329433,-371.16108132591455,16.844446508716313,46.88195826293235,226.7555,20.442386506170372,-106.16689514232841,-380.82537175444213,16.84354584651767,46.88187132891282,226.18,19.28929098055885,-154.66247293475934,-362.23691783461805,16.842909473164298,46.8820385392246,226.79925,,20.256868742678847,17.993457422151877,13.096241195840733,26.385254920733573,14.992756767386071,47.458417915808354
4533.8,,,,,,,13.335044087083526,60.03908311766371,-305.4961636631922,16.84572685065353,46.8825489441909,226.518,14.121995111948836,40.292084891821155,-321.6522393876519,16.84546772468675,46.88240361405904,226.66,15.19352088437766,21.617729835712613,-334.3508482044226,16.845222674261738,46.88228938517541,226.1495,16.1771523176607,6.584415575323247,-344.09306557991744,16.845025402653818,46.88220175017296,226.34625,16.720800851423768,-19.77392029824332,-359.97959239158166,16.8446795207538,46.88205884473753,226.997,17.49191932295065,-35.95602988812836,-370.39377956240935,16.844467174312886,46.881965165107616,226.28599999999997,20.405767214181267,-104.18597441483854,-381.2411830687537,16.843571840746907,46.8818675885297,226.16299999999998,19.35223101192389,-152.90449766070304,-363.0335544159794,16.84293254183718,46.88203137317133,226.8455,,20.155664633902358,17.886554017587248,12.978552515443926,26.36558904152461,14.906384936496313,47.53211561510124
4533.9,,,,,,,13.323990629560482,60.93925239683302,-304.51739029241435,16.845738662941766,46.882557748634824,226.725,14.085633105130045,41.42287658112048,-320.81181535272725,16.84548256327064,46.88241117399736,226.66,15.146624371933068,22.88130653330441,-333.51438264878374,16.845239255289883,46.88229690950568,226.1495,16.127820093162732,7.941604359642612,-343.18906662142416,16.845043212087525,46.882209881992225,226.699,16.71787111384715,-18.320776874775074,-359.11327112338273,16.84469858933274,46.882066637631425,226.268,17.452269814410613,-34.39389327858178,-369.6088370762167,16.844487673132733,46.881972225968,226.28599999999997,20.36120720286757,-102.20245226549913,-381.6216248597921,16.843597869112774,46.881864166309065,226.16299999999998,19.415171043288925,-151.13977249739025,-363.8304170789325,16.842955699084108,46.88202420508436,226.89175,,20.066036447212998,17.779111742638275,12.86326790689135,26.30296546239548,14.859194781088032,47.593377076401424
4534.0,,,,,,,13.318525323989894,61.824569314125995,-303.5262237227549,16.845750280332894,46.88256666456039,226.4675,14.050402383819636,42.54520666890141,-319.96611096701804,16.845497290818884,46.88241878143445,226.66,15.097193377824734,24.1389210482648,-332.68247485526626,16.845255758080498,46.882304392837106,226.4265,16.084957719816316,9.296149381014553,-342.288961898874,16.845060986828994,46.88221797878133,226.2935,16.717538624128636,-16.918363993125563,-358.24259186517213,16.844716992210465,46.882074469727144,226.268,17.411465858767688,-32.84399286886761,-368.80712833461195,16.84450801138554,46.881979437647324,226.1415,20.308706472229265,-100.21652539048752,-381.9660123815737,16.843623929034163,46.8818610684105,226.1445,19.478111074653977,-149.36784213437602,-364.62716834746726,16.842978950879807,46.88201703799943,226.938,,19.978696437936808,17.675476020281415,12.744838776501243,26.277331531379236,14.773914166451792,47.6423166958269
4534.1,,,,,,,13.31678545305428,62.69510585396361,-302.52806771732776,16.845761703771533,46.88257564335859,226.4675,14.016302948017604,43.65838426964117,-319.11446214030696,16.845511898265475,46.88242644234409,226.39,15.045227902052664,25.39429610771161,-331.85143889460664,16.84527223148432,46.88231186832607,226.4265,16.046408580570937,10.647600301635464,-341.3934059068457,16.84507872096875,46.88222603465286,226.2935,16.719803382268232,-15.47634342712702,-357.36910957240144,16.84473591483197,46.88208232703724,226.268,17.369507456021893,-31.3059026355205,-367.99009254033285,16.84452819466171,46.88198678719938,226.1415,20.24826502226637,-98.22915464105905,-382.2734737589283,16.8436500079025,46.88185830267682,226.268,19.532670015248367,-147.5885396326115,-365.42003397232025,16.843002299414895,46.882009905867356,226.87275,,19.89055980912537,17.570415044231932,12.629125651918974,26.211509660776443,14.725324065253911,47.67971573254025
4534.2,,,,,,,13.318771016753633,63.54439263494758,-301.52493125785287,16.845772848364536,46.88258466695793,226.4675,13.98333478882451,44.7622040308624,-318.2564687567222,16.845526382915725,46.88243416032547,226.39,14.990727944616857,26.64630671681871,-331.0209787716908,16.84528866073882,46.88231933863515,226.4265,16.01217267542659,11.996461006766724,-340.5021536503215,16.845096421118935,46.882234051810634,226.2935,16.724665388265933,-14.11092593802658,-356.51249987890884,16.844753832245182,46.882090032571796,226.268,17.328240490154307,-29.77928467849357,-367.1588392957621,16.84454822739527,46.881994264642884,226.1415,20.182893926131435,-96.2408362885808,-382.54316912217047,16.843676099205567,46.881855876663025,226.268,19.58722895584276,-145.80251869708496,-366.2098735668625,16.843025736111258,46.882002800955604,226.8075,,19.79551939375197,17.46487238074638,12.514787867386449,26.21548201952787,14.605915132072134,47.70606766547441
4534.3,,,,,,,13.322686037644145,64.38168249248423,-300.509153227164,16.845783835530344,46.88259380427304,226.4675,13.951497897340907,45.85659561988679,-317.39148508058355,16.845540743846705,46.88244194118722,226.39,14.935274057679644,27.891865690216626,-330.1928073763593,16.845305005333046,46.882326788356245,226.2755,15.980404027053845,13.34178318681168,-339.6154123558332,16.845114074835546,46.88224202839055,226.0735,16.727841952106193,-12.685105037412866,-355.6669915060099,16.844772542289874,46.882097638245675,226.1065,17.289510845079555,-28.263620869237453,-366.3142273760572,16.84456811638525,46.88200186225284,226.547,20.11560425686857,-94.25237572162494,-382.7747324163475,16.843702192374813,46.88185379366188,226.653,19.641787896437148,-144.0094100898666,-366.9965991212143,16.843049265814162,46.88199572405584,226.74225,,19.705451671899407,17.36281348943011,12.399212665138332,26.168512449034356,14.532177071091112,47.72115691107642
4534.4,,,,,,,13.326734538346686,65.20659565933022,-299.4814667184485,16.845794660285552,46.882603048709534,226.92700000000002,13.920792273566793,46.94102645064198,-316.5190803627554,16.845554974069653,46.88244978880411,226.21099999999998,14.880446793346431,29.12939332356372,-329.371402658196,16.845321244537644,46.88233417720846,226.2755,15.949256658189757,14.68202925657556,-338.7348400214917,16.845131661941927,46.88224994947829,226.0735,16.72505038392772,-11.33386991624885,-354.82724966239977,16.844790273597848,46.88210519204743,226.1065,17.253318520797635,-26.758368890789214,-365.45758288645203,16.8445878687481,46.88200956810039,226.547,20.04639601447776,-92.26468598045162,-382.9675682461832,16.843728275429054,46.881852059029214,226.653,19.696346837031538,-142.20881506677318,-367.77976254616,16.84307289375603,46.88198867919879,226.677,,19.61990997874333,17.268116241192573,12.28083389096674,26.180619067315426,14.39562572899586,47.72473458107097
4534.5,,,,,,,13.330916518861258,66.01857561636618,-298.44202124593863,16.84580531532735,46.882612398922426,226.524,13.891217917502164,48.01505385407937,-315.6388422754053,16.845569067775752,46.88245770688518,226.665,14.826246151617227,30.36421118507017,-328.5471648610312,16.845337448183816,46.88234159154533,226.2755,15.918730568834329,16.01911722309247,-337.8577840617864,16.84514920760674,46.8822578389349,226.945,16.716290683730506,-9.921409217270154,-353.9333261886261,16.84480880832601,46.882113233233824,226.4285,17.21966351730854,-25.263180072959344,-364.5898757964441,16.844607489059168,46.88201737346032,226.227,19.975269198959012,-90.27821224118756,-383.1216069312383,16.84375434252656,46.881850673391845,226.7305,19.734339701681822,-140.40096443314894,-368.5557359798618,16.84309661690817,46.881981699018496,226.67,,19.538630070781,17.1709394366722,12.166289472933672,26.10765554093165,14.342510660778572,47.71869438581928
