Date,9,10,2019
Vehicle_order,SKODA_TARGET,TESLA_MODELX,TESLA_MODEL3,TESLA_MODELS,MERCEDES_GLE450,JAGUAR_I_PACE,BMW_I3,AUDI_E_TRON,TOYOTA_RAV4,MAZDA_3,AUDI_A4,
Number_of_vehicles,11
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed10,E10,N10,Lon10,Lat10,Alt10,Speed11,E11,N11,Lon11,Lat11,Alt11,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6,IVS7,IVS10
4305.3,,,,,,,12.835210406324306,15.462564977003133,299.1759363444763,16.84514190436312,46.88798820292692,228.196,13.957736052978596,51.44809874889317,291.76243476924867,16.84561411720895,46.88792151562117,228.187,14.56657095022048,70.98615152119942,283.0033905325336,16.845870501331525,46.88784272464027,227.927,15.308351790054084,99.5701941236297,262.7678211739463,16.84624558961528,46.88766069788989,228.22099999999998,14.658713267406574,113.93276065598484,238.7050840819116,16.84643405947261,46.88744424428977,228.135,13.33819278587262,121.9892116289632,209.65278468431114,16.846539778611447,46.88718290765245,228.162,12.836816939638258,123.44951380709446,188.8645434872201,16.846558941129686,46.88699590940573,227.875,7.631375181140041,117.98843798537844,118.6986370236047,16.846487279273248,46.88636474001706,227.84900000000002,5.1505995520316805,116.56289990854552,100.15308035679509,16.846468572939855,46.886197915582606,227.95550000000003,,31.38293256852901,16.872024998993183,30.18903879299469,23.087734454405442,25.738564082561002,16.502258174726798,14.12264763736852
4305.4,,,,,,,12.828592295804167,14.19242985663137,299.1423198412715,16.84512523727341,46.8879879005335,228.196,13.942644917651027,50.120627330904036,292.2082702589729,16.845596697735335,46.88792552608334,228.097,14.538069541691511,69.72964246540757,283.72491957998074,16.84585401304707,46.887849215072315,227.927,15.317226600865474,98.55845668513894,263.9085095504874,16.84623231329658,46.88767095882176,228.22099999999998,14.728224309097556,113.27759883401508,240.00906094794786,16.846425462244884,46.88745597406457,228.30900000000003,13.424847490493464,121.76960980054501,210.88845874366368,16.84653689693113,46.88719402301715,228.162,12.93175536834048,123.46808053419451,190.1624915068306,16.846559184767784,46.88700758494873,226.675,7.70289109384636,118.05314538639229,119.46800425545644,16.84648812838295,46.88637166077203,227.84900000000002,5.223730369741218,116.60567269166384,100.66604500616873,16.846469134217,46.88620252989746,227.97400000000002,,31.232900356151482,16.825840165312286,30.149968124047927,23.132984631980253,25.92343198983052,16.45823421417032,14.379977297604606
4305.5,,,,,,,12.823191620142007,12.921433905163125,299.0931197129898,16.845108558887613,46.88798745795938,228.196,13.929480847796304,48.78917006170688,292.63635572903695,16.845579225958193,46.88792937687725,228.097,14.506383040567766,68.46654838273902,284.4284400860855,16.845837438351946,46.88785554351059,228.21400000000003,15.324133177448015,97.52624489481548,265.03469078841573,16.846218768307356,46.887681089256326,228.22099999999998,14.794685136358789,112.60207110536362,241.3102268616115,16.846416597769693,46.88746767855376,228.30900000000003,13.51082752667557,121.46680150206282,212.24239614852118,16.84653292339084,46.88720620220626,228.162,13.026359807913597,123.47512819396627,191.47001626872841,16.846559277249266,46.88701934663822,226.675,7.776737528722143,118.11859234161652,120.24597649337265,16.846488987197308,46.886378658932344,227.84900000000002,5.289569029464088,116.64913058712715,101.18621721661215,16.84646970448439,46.8862072090471,227.97400000000002,,31.08595642246996,16.781056983153054,30.10409881122478,23.173818195209165,25.97939927721777,16.532028635556614,14.638704707001493
4305.6,,,,,,,12.821975594412475,11.649809873171868,299.0282590975408,16.84509187225996,46.88798687451313,228.23,13.918243843414436,47.45399286437055,293.0464023385012,16.84556170536706,46.88793306540463,228.097,14.471511446849238,67.1973783949113,285.1138364687632,16.845820783926985,46.88786170891539,228.21400000000003,15.328281592259767,96.47419216700688,266.14439561186083,16.846204962959472,46.88769107147916,228.22099999999998,14.855936538336964,111.90616173131977,242.60799632440376,16.846407465840517,46.88747935249058,228.30900000000003,13.595639829304444,121.18280020870424,213.58091298265927,16.846529196641644,46.8872182426814,228.162,13.120630258357599,123.46988468334715,192.78665587446807,16.846559208442365,46.88703119031925,226.675,7.852914485767382,118.18465746819928,121.03230163664387,16.84648985412349,46.88638573223025,227.84900000000002,5.35540768918696,116.69316707761051,101.71257978107236,16.846470282344278,46.88621194388136,227.97400000000002,,30.94213608363708,16.737810279813715,30.052367784439177,23.20896348243513,26.063282256799198,16.5824425612061,14.899591530216426
4305.7,,,,,,,12.824944218615592,10.377063308806699,298.9470054504139,16.845075170902103,46.88798614360524,228.23,13.908933904505416,46.1150281823867,293.4385311249707,16.845544135075432,46.887936592754286,227.803,14.433454760535936,65.92259956770013,285.78130220428636,16.845804055901173,46.887867713027106,228.21400000000003,15.32967184530074,95.40317665526169,267.23742271302217,16.84619090877631,46.88770090367946,228.613,14.911978515032091,111.18986427728711,243.90177471521213,16.846398066372902,46.88749099052615,228.25599999999997,13.679284398380082,120.87170085883457,214.9779142390334,16.846525114303716,46.887230809246475,228.162,13.2145667196725,123.45159135254144,194.1124394437273,16.846558968391854,46.88704311625375,226.675,7.9314219649820865,118.2510689051967,121.82675002461029,16.846490725594062,46.88639287859989,227.84900000000002,5.4212463489098335,116.73780038284953,102.24520528294943,16.846470868035745,46.88621673505317,227.97400000000002,,30.801691073386326,16.696556693460806,29.99510988083237,23.23851329977046,26.091163929923066,16.687153307716457,15.16231402190994
4305.8,,,,,,,12.832097492751346,9.103725574511508,298.84921185762454,16.84505846178674,46.887985263914146,228.23,13.901551031069234,44.772528522553976,293.81270999487776,16.845526518396767,46.887939958637546,227.803,14.39221298162785,64.64228358338231,286.4302145701298,16.845787255215143,46.88787355024407,228.1115,15.328303936570931,94.31211949355878,268.3144407377581,16.846176591600678,46.887710591871965,228.613,14.962811066444154,110.45318177039358,245.19095968977703,16.84638839940658,46.88750258724218,228.178,13.761761233902481,120.58028135246329,216.30032251196155,16.846521290210532,46.88724270481888,228.162,13.308169191858287,123.41944692996887,195.4473662729845,16.846558546583207,46.887055124435406,228.525,8.012259966366251,118.31819355627209,122.62941695848795,16.84649160642364,46.8864000988985,227.65200000000002,5.487085008632703,116.78306236928215,102.78433726352692,16.846471461976954,46.886221584753244,227.97400000000002,,30.6643232840797,16.65732700914222,29.930454059545678,23.264363862503266,26.20405517839281,16.70813685297698,15.426750121570056
4305.9,,,,,,,12.843435416819739,7.82979171229748,298.7350898691995,16.84504174484881,46.88798423734286,228.19099999999997,13.896095223105911,43.42621852222901,294.16892235553973,16.84550885171769,46.8879431629051,227.803,14.347786110124993,63.35722903235731,287.06067056892925,16.845770392348236,46.88787922143892,228.1115,15.324177866070332,93.20267998126951,269.37189747173403,16.84616203320639,46.887720104103096,228.613,15.008434192573173,109.6961268571008,246.47494258015857,16.8463784651075,46.88751413716346,228.178,13.843070335871651,120.26381840357357,217.6223483224968,16.84651713748987,46.8872545969509,227.97,13.401437674914966,123.37267346640571,196.79088557839881,16.846557932807947,46.887067209909716,228.525,8.095428489919874,118.3858564341679,123.44036000647684,16.846492494315992,46.88640739364398,227.65200000000002,5.560307912870992,116.8290728157027,103.33114820763477,16.846472065739675,46.886226503528576,227.97400000000002,,30.529790261907266,16.621064709153494,29.86081666829407,23.283419006218505,26.316887042938838,16.724955105341056,15.691765470717256
4306.0,,,,,,,12.858957990820775,6.555860341837878,298.60456379879787,16.845025027943574,46.887983063210534,228.19099999999997,13.892566480615434,42.076717090343095,294.5071504864126,16.8454911431597,46.887946205397576,228.62400000000002,14.30017414602735,62.06749062127221,287.6725383834804,16.84575346801833,46.88788472542589,228.1115,15.317293633798958,92.07659086207298,270.41131400526365,16.84614725633102,46.88772945405568,228.125,15.048847893419126,108.91872196081414,247.7531097942031,16.846368263769907,46.88752563477049,228.178,13.92321170428758,119.91470263160817,218.88444182749,16.846512556289177,46.88726594996871,227.97,13.494372168842535,123.31037262777252,198.14291803754642,16.846557115277868,46.88707937196309,228.525,8.18092753564296,118.45419613903653,124.25908089826919,16.846493391089858,46.88641475835415,227.65200000000002,5.633530817109281,116.87576010794113,103.8846577111082,16.84647267838417,46.88623148256004,227.97400000000002,,30.398092392899713,16.587260968686973,29.786549481390747,23.29665642096828,26.481824685231302,16.680434086816867,15.957856949832756
4306.1,,,,,,,12.878665214754449,5.2818874821729,298.45741665531244,16.84500831049391,46.88798173956521,228.19099999999997,13.890964803597805,40.72378153991796,294.8271612370595,16.845473389538192,46.88794908401768,228.62400000000002,14.249377089334931,60.773231241415814,288.26588317242863,16.845736484362927,46.88789006279109,227.84900000000002,15.307651239756794,90.9319524095912,271.43415793413203,16.8461322360458,46.88773865493129,228.125,15.084052168982026,108.12099943949212,249.0248442150097,16.846357795818413,46.88753707451206,228.178,14.002185339150277,119.52353069239749,220.21189028176903,16.846507423214987,46.887277890879496,227.97,13.586972673640995,123.23202810498556,199.50342598692185,16.846556087217806,46.887091610256775,228.525,8.268757103535508,118.52301849028328,125.08585389237908,16.846494294197164,46.88642219549608,227.65200000000002,5.70675372134757,116.92314061827915,104.44496758632452,16.84647330012528,46.88623652276343,227.97400000000002,,30.2690230460598,16.556184097346176,29.70498833709217,23.30708731860088,26.577049937477113,16.700694496371707,16.225180200911268
4306.2,,,,,,,12.902557088620766,4.00809093150282,298.2933514637221,16.844991595357822,46.88798026373554,228.2105,13.890104951013331,39.36737250854252,295.1292341234704,16.84545559033663,46.88795180127979,228.136,14.197970198272259,59.47498918226891,288.84023341445294,16.845719448445625,46.88789522929302,227.84900000000002,15.295250683943848,89.76819380731814,272.4391027244537,16.846116964860308,46.88774769479724,228.125,15.114047019261868,107.3030017550674,250.28952662802104,16.84634706181022,46.8875484508181,228.261,14.079991240459735,119.13566387315844,221.5460868243254,16.846502333511562,46.88728989249194,227.97,13.679690363752199,123.1368029421782,200.87180606528716,16.84655483764498,46.8871039193633,227.957,8.357279217008905,118.59214571158807,125.92048136938743,16.846495201305064,46.88642970329212,227.65200000000002,5.779976625585859,116.97124451502035,105.01234161369943,16.846473931358872,46.886241626511634,227.97400000000002,,30.142262987858768,16.528600682989214,29.61540331748497,23.31474373587029,26.67360394084582,16.720685854563154,16.493259094407207
4306.3,,,,,,,12.925619079383216,2.734560749612688,298.1125275728761,16.844974883717107,46.887978637154895,228.2105,13.888801681828141,38.00780249340935,295.41291554197016,16.845437749655705,46.887954353103574,228.17700000000002,14.148528731051213,58.172914983637035,289.39569339041594,16.845702362241855,46.88790022586972,228.393,15.283292536752946,88.5888262953487,273.42446027464825,16.846101488850064,46.88775655846842,230.646,15.142393987615757,106.46411409634544,251.54522464540798,16.846336053677586,46.88755974630604,228.132,14.156075888303127,118.66575521450837,222.90424203820754,16.84649616723079,46.88730210962187,228.02433333333332,13.772976413615782,123.02418979452361,202.2479129754936,16.84655335990186,46.88711629797567,227.957,8.444855899482588,118.66191392367949,126.76323972388764,16.846496116824234,46.886437284228535,227.65200000000002,5.855034337739781,117.02015280520605,105.58796209640856,16.846474573147965,46.88624680443986,227.9175,,30.018090857596363,16.504164503005303,29.5214037657876,23.31746313845364,26.721641935331807,16.773921219120556,16.76121012869813
4306.4,,,,,,,12.94283665402992,1.4621829763915881,297.9148982508018,16.844958187198632,46.88797685940293,228.2105,13.887054996042227,36.64533383103614,295.6781672274996,16.84541987093787,46.887956739144784,228.17700000000002,14.101052687671793,56.86727459575436,289.9321194811996,16.845685229241493,46.887905051229275,228.22400000000002,15.274977368561172,87.39574660932274,274.390728857883,16.84608583290461,46.887765250426966,228.299,15.17265461738328,105.60569966225056,252.79303836530158,16.846324789308813,46.88757097087167,228.132,14.23216053614652,118.21123440432166,224.2280455018113,16.84649020287393,46.88731401774456,228.07866666666663,13.866830823231744,122.89336860310249,203.63141554537842,16.846551643227393,46.88712874311485,227.957,8.531487150956556,118.73196789716678,127.61363491749708,16.846497036093247,46.886444933861256,227.65200000000002,5.930092049893704,117.06970053627884,106.17069378191627,16.846475223327985,46.88625204633611,227.861,,29.895871571456823,16.482893952275948,29.42396261203577,23.31455636990571,26.81261203773013,16.784899866730758,17.029657889032592
4306.5,,,,,,,12.954209812560885,0.19048584369382804,297.70024446194464,16.844941499611732,46.88797492850932,228.176,13.884864893655596,35.27975059624501,295.9254569012548,16.845401951349693,46.88795896361076,228.17700000000002,14.055542068133994,55.55851602931531,290.4496332282883,16.845668055323465,46.887909706465024,228.22400000000002,15.270305179368535,86.1869949204538,275.34025254802856,16.846069971306488,46.88777379175875,228.299,15.205785739271267,104.726991365152,254.0316941786581,16.846313258637956,46.88758211305842,228.132,14.30824518398991,117.7232803892884,225.6428580512245,16.846483799796633,46.88732674452908,228.13299999999998,13.96125359260008,122.7441266466633,205.02191772425488,16.846549684830187,46.88714125121822,228.477,8.61717297143081,118.802526966951,128.47225269660393,16.846497961990284,46.886452657459316,227.69,6.005149762047626,117.11987835315516,106.76057218204708,16.84647588177618,46.886257352519806,227.8045,,29.775813291406692,16.46550105405703,29.31980534983469,23.30966219673409,26.81215117834846,16.88617465025293,17.299168647827166
4306.6,,,,,,,12.959738554976106,-1.0800114436244184,297.4684061515263,16.844924827769553,46.88797284303431,228.176,13.882231374668248,33.911066299857374,296.1543074768742,16.845383991068466,46.88796102220994,228.1995,14.011996872437825,54.24671622403079,290.94810248262775,16.8456508414974,46.8879141903882,228.22400000000002,15.269275969175046,84.96347963536837,276.27101790481356,16.846053915976082,46.8877821643521,228.299,15.238916861159261,103.82796845399672,255.26087559344163,16.846301461392706,46.887593170019294,228.132,14.382813316246693,117.24623256836668,226.93426343172592,16.84647753983366,46.88733836121851,228.13299999999998,14.056244721720796,122.57577351174612,206.41903954548732,16.846547475650418,46.887153818867795,228.1475,8.701913360905348,118.87361667254524,129.3386098077309,16.846498894850484,46.88646045067565,227.69,6.080207474201548,117.1706838872434,107.35777336234308,16.846476548461467,46.886262724574735,227.748,,29.657438226164214,16.45193461151947,29.21040349059173,23.30096714728877,26.933897666703,16.858978258756284,17.569087223908845
4306.7,,,,,,,12.95942288127558,-2.349481828428062,297.2194862869132,16.844908169402693,46.88797060390413,228.176,13.879154439080182,32.53961176237081,296.3646612157378,16.845365994435316,46.88796291442295,228.1995,13.97041710058328,52.93193657071053,291.4276537204875,16.845633588568884,46.88791850413654,228.187,15.271889737980684,83.72597792654375,277.18389400779046,16.846037677111667,46.887790376024704,228.125,15.274918475167713,102.90826285950709,256.4787722773911,16.846289392743152,46.887604125469636,228.13400000000001,14.456623190710173,116.73212544140743,228.28041150828528,16.84647079356748,46.88735047033961,228.13299999999998,14.151804210593884,122.38786999273195,207.8224299286844,16.846545009924718,46.887166442905524,228.1475,8.785708319380172,118.94506867114755,130.21300416236932,16.8464998324648,46.88646831619008,227.69,6.141903993435231,117.2221708458786,107.96326051363307,16.846477224088602,46.88626817116518,227.748,,29.54125766969718,16.441873984000942,29.095963612709408,23.28975781163904,26.994456149656163,16.888162450044458,17.838733189393164
4306.8,,,,,,,12.953262791459315,-3.61698005606531,296.95394473692755,16.84489153691507,46.887968215255476,228.231,13.875634086891393,31.1656076582564,296.556753613823,16.845347964345994,46.887964642368146,228.19799999999998,13.930802752570358,51.61457870734053,291.8881524285739,16.845616301808334,46.88792264650001,228.187,15.278146485785465,82.47386206636381,278.07861283137026,16.84602124647603,46.88779842436557,228.125,15.312833750589807,101.96998792368723,257.6870247218478,16.846277080421196,46.887614994166356,228.13400000000001,14.529674807380346,116.22415381359896,229.6185577178489,16.846464127813142,46.88736250748083,228.13299999999998,14.247932059219362,122.1797340133153,209.2317803019769,16.846542278702675,46.88717912055566,228.1475,8.868557846855277,119.01693128130846,131.09518099158612,16.84650077546728,46.88647625171088,228.188,6.203600512668912,117.27427988727798,108.57595382197323,16.846477907878896,46.88627368257778,227.748,,29.426548978095628,16.43556507796032,28.975513593243896,23.2765336922738,27.070362258031157,16.901660210256544,18.108937469893178
4306.9,,,,,,,12.941258285527306,-4.882307447600249,296.6719659108964,16.844874932913804,46.887965678747186,228.231,13.87167031810189,29.78911275177759,296.7300827623212,16.845329901571624,46.88796620153069,228.19799999999998,13.89315382839906,50.29489348295954,292.32971462603325,16.84559898450746,46.887926618522265,228.097,15.288046212589386,81.20934374891323,278.95222083393304,16.846004653091672,46.88780628280647,230.395,15.352662687425545,101.01176178208885,258.8837737954833,16.846264506293593,46.88762575938581,228.13400000000001,14.601968166257215,115.63625770131823,230.9631451478323,16.84645641326601,46.88737460256333,228.028,14.344628267597212,121.95105636666453,210.64637324538867,16.84653927792678,46.887191845364725,228.1475,8.950461943330675,119.08946960004882,131.9851510615889,16.846501727336616,46.88648425733489,228.188,6.265297031902598,117.32699537348108,109.19580975549783,16.84647859962714,46.88627925842096,227.748,,29.313162432593828,16.43303881891284,28.851972197407022,23.25814078093363,27.10873251440029,16.93831306224012,18.379775882563518
