Date,9,10,2019
Vehicle_order,SKODA_TARGET,MAZDA_3,TOYOTA_RAV4,AUDI_E_TRON,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELX,TESLA_MODEL3,TESLA_MODELS,AUDI_A4,
Number_of_vehicles,11
ACC,1
Distance_setting,S
Time,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed9,E9,N9,Lon9,Lat9,Alt9,Speed10,E10,N10,Lon10,Lat10,Alt10,Speed11,E11,N11,Lon11,Lat11,Alt11,IVS2,IVS3,IVS4,IVS5,IVS6,IVS7,IVS8,IVS9,IVS10
1238.8,0.01575664386825999,121.68260301954763,158.21837973326745,16.846535755202346,46.88672023534383,229.53900000000002,0.02550348251322025,121.0435123670666,151.98903645633806,16.84652736886528,46.886664199998656,228.636,0.013713360116210112,120.58474335674242,145.93151626057028,16.846521348762277,46.88660971026837,228.47799999999998,0.007486270743489972,119.93999828079559,140.79179881240069,16.846512888226187,46.886563476527755,227.88299999999998,0.03203144328350378,119.75734703916642,134.22629051887557,16.84651049142243,46.886504417248624,228.021,0.016497042403607456,118.8549759153666,128.82335920472218,16.84649865024094,46.88645581579776,227.69,0.026125665676878844,117.66281705735916,121.80226631373158,16.846483006378865,46.88639265835947,227.84900000000002,0.018412039405817367,117.98284566584029,116.52827720560309,16.846487205889172,46.88634521679349,228.835,0.0036698170285131655,117.21599812834343,110.54520174349408,16.846477143088368,46.886291396722285,227.748,0.030004564572961006,116.16396079869702,101.6416981760476,16.84646333794255,46.88621130627399,227.97400000000002,1.4069672345142514,1.4934845257873492,0.6514394249783466,2.1064341792255883,0.8730875608427757,2.7114768371904554,-0.039434903134617734,1.4924493905830325,4.132691471678782
1238.9,0.014969922787182887,121.6831258154782,158.2185171095034,16.84653576206263,46.88672023657959,229.53900000000002,0.022987486166861984,121.04278495445057,151.98938748827175,16.846527359319953,46.88666420315633,228.636,0.013183934948895202,120.58477525409799,145.93125892396662,16.846521349180847,46.88660970795353,228.47799999999998,0.007200175637256886,119.94026213680642,140.7917561597084,16.846512891688587,46.886563476144076,227.88299999999998,0.03269686744505397,119.7573676084416,134.226250814776,16.846510491692346,46.88650441689146,228.021,0.016345851757716558,118.85546026868236,128.82346716306998,16.846498656596772,46.886455816768894,227.69,0.026128454892368463,117.6616277526284,121.80340433593493,16.846482990772458,46.88639266859642,227.84900000000002,0.01869172203397984,117.98249148829876,116.5282217119418,16.846487201241548,46.886345216294295,228.835,0.0039745610932030535,117.21602713567768,110.54494325427014,16.846477143469016,46.88629139439708,227.748,0.03000413097440516,116.1636551713718,101.64411168762905,16.846463333932014,46.886211327984455,227.97400000000002,1.4068824159429996,1.4940338676527958,0.6511975430580971,2.1064380018535216,0.8728655321583823,2.7107417134666427,-0.038192940783302376,1.4926020386162628,4.130077221233291
1239.0,0.013790297629796494,121.68349202259041,158.21793284761887,16.846535766868108,46.88672023132393,229.53900000000002,0.018227372946404787,121.04179232788307,151.9893901738363,16.846527346294415,46.8866642031805,228.636,0.012977115912218614,120.58481927059988,145.93077447267228,16.84652134975844,46.8866097035957,228.47799999999998,0.00711537013236735,119.94053979719212,140.79168189845024,16.846512895332125,46.88656347547607,227.88299999999998,0.032668417370232634,119.75736808183359,134.2262108760285,16.846510491698552,46.88650441653221,228.021,0.01609628960450282,118.85596149356144,128.82361622721814,16.84649866317399,46.88645581810978,227.69,0.02630661809699781,117.66040371014849,121.80452126292354,16.846482974710213,46.88639267864361,227.84900000000002,0.01887878850146411,117.98214615024028,116.52814398989332,16.84648719670992,46.886345215595156,228.835,0.0043959143529675795,117.21605108986584,110.54466639471843,16.84647714378335,46.88629139190662,227.748,0.03000369737584932,116.16330885663832,101.64648903018379,16.846463329387568,46.886211349369574,227.97400000000002,1.406437657392452,1.4944415627788716,0.6507614718500134,2.1064114171091988,0.8725966770627984,2.7100770398264222,-0.036947085601311436,1.4927526514624176,4.1274848794056425
1239.1,0.012217768396100816,121.68389140825977,158.2163219519504,16.846535772108965,46.8867202168333,229.53900000000002,0.011223142851848668,121.0407193665263,151.98956690544497,16.8465273322147,46.88666420477026,228.636,0.013092903006180349,120.5846671255123,145.93026103714192,16.846521347761946,46.88660969897714,228.47799999999998,0.007231854228821366,119.94082585932402,140.79157710016818,16.84651289908592,46.88656347453337,227.88299999999998,0.03194609305903978,119.75734838605354,134.22616775440213,16.846510491440107,46.88650441614431,228.021,0.01574835594396623,118.8564849722579,128.82381281249872,16.846498670043232,46.88645581987814,227.69,0.02666015529076688,117.65914218034729,121.80557755053512,16.846482958156038,46.88639268814532,227.84900000000002,0.0189732388082702,117.98180213546249,116.52805091745962,16.846487192195653,46.88634521475794,228.835,0.004933876807806747,117.21607237004078,110.54436898639544,16.846477144062593,46.88629138923132,227.748,0.030003263777293475,116.1629276318801,101.64879704490947,16.846463324385027,46.886211370131065,227.97400000000002,1.4048105501541739,1.4950605963747314,0.6503015121892153,2.1063582987331264,0.8722708697050309,2.7095295206227954,-0.03574394437379613,1.4929089534596225,4.124944819785707
1239.2,0.010252335086095849,121.68409698679115,158.21374973850232,16.84653577480663,46.88672019369525,229.53900000000002,0.0019747958831936173,121.03956368090469,151.98960908440608,16.84652731704945,46.88666420514967,228.636,0.013531296230780409,120.58466933606708,145.93000632072625,16.846521347790954,46.88660969668589,228.47799999999998,0.0075496279266189315,119.94111565155676,140.79144316280957,16.84651290288866,46.88656347332854,227.88299999999998,0.030529894511475388,119.75732344252664,134.2261833573492,16.846510491112788,46.88650441628466,228.021,0.015302050776106796,118.85703667255821,128.82406367696603,16.846498677282806,46.88645582213477,227.69,0.02718906647367568,117.6578390325404,121.80617315554814,16.846482941055747,46.886392693503026,227.84900000000002,0.018975072954398098,117.98145221370713,116.52794879965107,16.84648718760388,46.88634521383935,228.835,0.0055884484577205535,117.21609365990395,110.54404947100595,16.846477144341968,46.88629138635714,227.748,0.030002830178737637,116.1625155868241,101.65110474851863,16.84646331897805,46.88621139088974,227.97400000000002,1.402350067366985,1.4952698653646923,0.6501459247412473,2.106217616723243,0.8719439902041746,2.709501878494104,-0.034989273642468184,1.4930774859449087,4.122386798343234
1239.3,0.008562398303697575,121.68414393272958,158.2103988461453,16.846535775422662,46.886720163552674,229.53900000000002,0.0,121.03824366578087,151.98978693641868,16.846527299727818,46.88666420674952,228.636,0.014292295586018787,120.58467854699512,145.92978880803415,16.846521347911825,46.88660969472927,228.47799999999998,0.008068691225760047,119.94138429420988,140.791251249954,16.846512906413867,46.88656347160222,227.88299999999998,0.02841982172753948,119.75725855364206,134.22610165216582,16.846510490261295,46.88650441554969,228.021,0.014757374100924515,118.85762320993919,128.82437595766322,16.846498684979526,46.886455824943845,227.69,0.0278933516457242,117.65683789191395,121.80675792263928,16.846482927918483,46.88639269876322,227.84900000000002,0.01888429093984781,117.9810893909317,116.52784338661816,16.84648718284281,46.88634521289112,228.835,0.006359629302709007,117.21603415263486,110.54364575175973,16.846477143561096,46.88629138272553,227.748,0.02999865901728435,116.16214930391527,101.65341337587463,16.846463314171576,46.886211411656724,227.97400000000002,1.3989811306809241,1.4955647667962175,0.6500882902051739,2.106116794275241,0.8714483085109572,2.7095008893280896,-0.034261291071342015,1.4933349097089064,4.1197294029668585
1239.4,0.007816358655247515,121.68420340400974,158.2060461096007,16.846535776203066,46.88672012439814,229.53900000000002,0.0,121.03681062668932,151.9896979197533,16.846527280923056,46.88666420594878,228.636,0.015180133358909125,120.584695714954,145.92929843864098,16.846521348137106,46.88660969031821,228.47799999999998,0.00860708534517852,119.94166353398352,140.79105434698323,16.846512910078133,46.886563469830996,227.88299999999998,0.02635682960154192,119.75717506194798,134.2260110103883,16.846510489165695,46.886504414734326,228.021,0.014175951948148491,118.85825190543062,128.824973433738,16.846498693229453,46.88645583031838,227.69,0.028698255132567668,117.65589890871522,121.80778251607849,16.846482915596866,46.886392707979844,227.84900000000002,0.018753248587850685,117.9807068595822,116.52773989178353,16.846487177823118,46.88634521196015,228.835,0.007077251863695539,117.21603685757454,110.54325927249279,16.84647714359659,46.88629137924901,227.748,0.029994487855831063,116.16180305468868,101.65572852246844,16.84646330962799,46.88621143248237,227.97400000000002,1.3948946489626106,1.4958569402386128,0.6497645469214017,2.106020754166188,0.8706525713723359,2.7093444772274085,-0.03310118738194223,1.4935667706982132,4.117087665449116
1239.5,0.008014216140745677,121.68409912417977,158.20079539711202,16.846535774834678,46.886720077165954,229.53900000000002,0.0,121.03527221508644,151.98955813678316,16.846527260735563,46.88666420469138,228.636,0.015999041835535632,120.58451232550615,145.9290408831374,16.846521345730615,46.88660968800139,228.47799999999998,0.008982851502944296,119.94193609118484,140.79083313282817,16.84651291365471,46.88656346784109,227.88299999999998,0.02508187303131033,119.7570735325388,134.2259080059982,16.846510487833395,46.88650441380776,228.021,0.013619410347800388,118.85872134536,128.82535403126442,16.846498699389585,46.886455833742,227.69,0.029529021259506388,117.65502867198492,121.80884938610588,16.846482904177364,46.886392717576754,227.84900000000002,0.01863430172188664,117.98029794928976,116.52762138727093,16.84648717245728,46.88634521089415,228.835,0.00757114866079572,117.21604594314928,110.54284672070314,16.846477143715813,46.88629137553795,227.748,0.029990316694377774,116.16145336346928,101.65806022125612,16.84646330503924,46.886211453456895,227.97400000000002,1.3899600707543511,1.4958737320240312,0.6496718878395784,2.105913110182524,0.8700818128966157,2.7088944554345518,-0.03188970967746396,1.4938054846041728,4.11440480749252
1239.6,0.009155970760192056,121.68401409896538,158.1947191039102,16.846535773718948,46.88672002250736,229.53900000000002,0.0,121.03360719420256,151.9894111656523,16.846527238886665,46.88666420336932,228.636,0.016749021015898303,120.58447867234035,145.92849065730448,16.84652134528901,46.8866096830519,228.47799999999998,0.009195989699057373,119.94220028958613,140.7905902339951,16.846512917121597,46.88656346565614,227.88299999999998,0.024594952016844703,119.75695470331428,134.22578906066502,16.84651048627408,46.88650441273781,228.021,0.013087749299880208,118.8591801419981,128.82552552833536,16.846498705410053,46.88645583528468,227.69,0.030385650026540364,117.65423309023048,121.8099231441692,16.846482893737498,46.88639272723561,227.84900000000002,0.01852745034195567,117.97982642629464,116.52754307425936,16.846487166269814,46.8863452101897,228.835,0.007841319694009547,117.21606522432155,110.54240850190232,16.846477143968826,46.886291371596,227.748,0.029986145532924488,116.16107881509994,101.66032115412187,16.846463300124302,46.88621147379486,227.97400000000002,1.3842273733743484,1.4961551006286822,0.6493299817035094,2.1057999986118565,0.8697005497510881,2.708217412971992,-0.030719890510964017,1.4941003442541767,4.1117709196334165
1239.7,0.011241622513586654,121.68376194639526,158.18824425416688,16.846535770410128,46.886719964263584,229.53900000000002,0.0,121.03189460231764,151.9891557842544,16.846527216413527,46.88666420107207,228.636,0.017430070899997152,120.58444713315365,145.9281541383281,16.846521344875146,46.88660968002478,228.47799999999998,0.009246499933517754,119.94245524485878,140.7903286015841,16.846512920467198,46.88656346330264,227.88299999999998,0.02489606655814505,119.75681948498008,134.22565040748012,16.846510484499706,46.88650441149058,228.021,0.012580968804387952,118.85983855614931,128.82591620904074,16.846498714049954,46.886455838799,227.69,0.03126814143366958,117.65376445256076,121.81097006875929,16.8464828875879,46.8863927366531,227.84900000000002,0.01843269444805778,117.97935568596537,116.52747817740305,16.846487160092614,46.88634520960592,228.835,0.007887764963337018,117.21603602186951,110.54191489520402,16.846477143585624,46.88629136715582,227.748,0.029988392476385142,116.16057338508988,101.66244245711168,16.8464632934919,46.8862114928768,227.97400000000002,1.3781943853508922,1.4961120198701758,0.6492201433079146,2.105688085645803,0.8690482744737693,2.7077615246681885,-0.0296103039674156,1.4944697343516662,4.1092304666508
1239.8,0.01427117140092947,121.68352858146321,158.18126372107878,16.846535767347845,46.886719901471004,229.53900000000002,0.0008125156046401793,121.03010233567056,151.98885421831338,16.846527192894868,46.886664198359355,228.636,0.018042191487832163,120.5844183979772,145.92781205320156,16.846521344498072,46.8866096769476,228.47799999999998,0.009134382206325436,119.94270087700536,140.79005151128897,16.846512923690458,46.88656346081011,227.88299999999998,0.025985216655211352,119.75666896104862,134.22548805469106,16.846510482524483,46.886504410030135,228.021,0.012099068861323621,118.86049680874805,128.826533478371,16.84649872268774,46.88645584435158,227.69,0.03217649548089407,117.6532914902351,121.81195796812868,16.84648288138155,46.88639274553964,227.84900000000002,0.018350034040192958,117.97904688489751,116.52743001765523,16.846487156040446,46.88634520917271,228.835,0.007710484468778138,117.21606764661058,110.54141807623178,16.846477144000612,46.88629136268674,227.748,0.0299906394198458,116.15995024626734,101.66442900473835,16.84646328531489,46.88621151074656,227.97400000000002,1.3717154756660408,1.4960228467910763,0.6491216380007172,2.105584604134944,0.8681466980152459,2.707588027941076,-0.028566108399907364,1.4948717374411018,4.106841794532864
1239.9,0.0182446174222205,121.6832718065828,158.17384464651053,16.84653576397837,46.88671983473356,229.53900000000002,0.020495223120212392,121.02828262883492,151.98859971707216,16.846527169016138,46.88666419607002,228.636,0.01858538277940335,120.58439320593016,145.92746196686986,16.846521344167495,46.88660967379844,228.47799999999998,0.008859636517480422,119.94293792279106,140.78976256339737,16.846512926801044,46.88656345821091,227.88299999999998,0.02786240230804362,119.75650438783968,134.22529774943658,16.84651048036491,46.886504408318274,228.021,0.011642049470687213,118.86097657283631,128.82699677166093,16.84649872898335,46.88645584851908,227.69,0.0331107121682138,117.65283058280848,121.8128560778023,16.846482875333386,46.88639275361848,227.84900000000002,0.01827946911836123,117.97854429515264,116.52740145788256,16.84648714944531,46.8863452089158,228.835,0.007309478210332903,117.21612040818556,110.54089794846888,16.846477144692965,46.886291358008,227.748,0.02999288636330645,116.15927203058844,101.66630848982078,16.84646327641514,46.886211527653245,227.97400000000002,1.3647548979029391,1.4959868401323142,0.6490284755742719,2.105497390362576,0.8673964374493677,2.7073191252578974,-0.027643758218750314,1.4952891743335333,4.104545400255416
1240.0,0.02316196057745976,121.68302289621141,158.1665126507597,16.846535760712097,46.88671976877942,229.53900000000002,0.0460501542366953,121.0263764333942,151.98824150618518,16.846527144002476,46.88666419284779,228.636,0.019059644774710702,120.5842241053128,145.92710201609262,16.846521341948506,46.88660967056054,228.47799999999998,0.00842226286698271,119.94312604587006,140.78937400085948,16.84651292926965,46.88656345471564,227.88299999999998,0.03052762351664186,119.75632719448116,134.2250749414799,16.846510478039725,46.88650440631402,228.021,0.011209910632478727,118.86145467406584,128.82732503684989,16.846498735257132,46.88645585147195,227.69,0.034070791495628784,117.65239655583055,121.81363493279363,16.846482869637953,46.88639276062458,227.84900000000002,0.018220999682562567,117.97799003797041,116.52739494103176,16.846487142172187,46.886345208857186,228.835,0.006684746188001315,117.21598996289616,110.54035635944537,16.846477142981225,46.88629135313619,227.748,0.030002095628330006,116.1586624553087,101.66816106344768,16.846463268416112,46.88621154431787,227.97400000000002,1.3579948685803631,1.4958619454284152,0.6490126225728607,2.1053420839620958,0.8667455806208588,2.7070299701823988,-0.02686726582869348,1.4957664359469414,4.102224725863135
