,short,medium,distance,long,no ACC,mixed
0,handling_part15.csv,,68.85978316438988,handling_part47.csv,,
0,handling_part14.csv,,232.61130495638656,handling_part47.csv,,
0,handling_part16.csv,,8.50763356031368,handling_part47.csv,,
0,handling_part31.csv,,54.93857810562064,handling_part47.csv,,
0,handling_part15.csv,,89.41930409529006,,handling_part35.csv,
0,handling_part15.csv,,71.41187412048703,,handling_part22.csv,
0,handling_part14.csv,,219.4273565699977,,handling_part35.csv,
0,handling_part14.csv,,232.63512068598195,,handling_part22.csv,
0,handling_part16.csv,,11.667022052869685,,handling_part35.csv,
0,handling_part16.csv,,16.103166692769012,,handling_part22.csv,
0,handling_part31.csv,,37.774655833808865,,handling_part35.csv,
0,handling_part31.csv,,79.83820745944782,,handling_part22.csv,
0,handling_part15.csv,,72.69667512542478,,,handling_part46.csv
0,handling_part15.csv,,84.4735903151199,,,handling_part33.csv
0,handling_part14.csv,,210.89566638832002,,,handling_part46.csv
0,handling_part14.csv,,208.370194461794,,,handling_part33.csv
0,handling_part16.csv,,7.8789542486451944,,,handling_part46.csv
0,handling_part16.csv,,8.35126394360783,,,handling_part33.csv
0,handling_part31.csv,,20.090424062178915,,,handling_part46.csv
0,handling_part31.csv,,22.018242790352677,,,handling_part33.csv
0,,,26.13784863336585,handling_part47.csv,handling_part35.csv,
0,,,25.701354240504255,handling_part47.csv,handling_part22.csv,
0,,,9.126011594763149,handling_part47.csv,,handling_part46.csv
0,,,20.116866454618762,handling_part47.csv,,handling_part33.csv
0,,,16.474190832231525,,handling_part35.csv,handling_part46.csv
0,,,12.674294985438191,,handling_part35.csv,handling_part33.csv
0,,,25.67370840532053,,handling_part22.csv,handling_part46.csv
0,,,19.14502625397718,,handling_part22.csv,handling_part33.csv
